trialNum	songNumber	songFileName	songDur	fixTime	responded	rt	postMusicTime	reply	promptRT	choicesMC	respMC	rtMC	outcomeMC	preFeedbackTime
1	4	I've been working on the railroad.wav	9.311020408163266	0.4866034191647662	1	4.08508730000176	0.4462714972267061	nursery rhyme	5.166544799998519	9   13   78    4	4	5.8111620000127	1	1.107226392366301
2	83	on top of old smokey.wav	12.79700680272109	0.4589438777322457	1	8.188297300002887	0.4320075806549271	nursery rhyme	5.43691960000433	82   47   75   83	2	5.438328299991554	0	1.195013137195011
3	92	ring around the rosie.wav	7.034013605442177	0.4458517755421636	1	4.370285500001046	0.4264066068365193	nursery rhyme	8.737337700003991	51   63   92   29	3	2.704250800001319	1	1.065234929249406
4	117	three blind mice.wav	13.92798185941043	0.4095511303354756	1	4.568114199995762	0.4704725970960106	hot cross buns	4.824865699993097	30  117   58  111	2	7.277202800003579	1	1.151429979735666
5	3	I think we're alone now.wav	6.298004535147392	0.4597478270352187	0	n/a	0.4826933241894805	n/a	2.495336700012558	28    3  105   57	2	2.619706400000723	1	1.195716948803139
6	37	down in my heart.wav	8.388979591836735	0.4157785274534816	1	6.542238900001394	0.4001724614635089	n/a	6.623285099994973	113   27   44   37	4	4.412513600007514	1	1.059506758268297
7	25	bye baby bunting.wav	6.319002267573696	0.4196095903869178	1	4.872443700005533	0.464735705569893	nursery rhyme	3.986672999992152	1  113   89   25	3	3.731650800007628	0	1.086764645580948
8	108	take me out to the ballgame.wav	6.194013605442177	0.4639652852427097	1	4.056928499994683	0.4407767869994425	rainbow	5.254291400007787	40   47  108   73	3	3.138715900000534	1	1.033321185553206
9	114	the muffin man.wav	9.051020408163266	0.4148234123412586	1	3.966620399995008	0.440836485973046	n/a	2.061496800000896	114  106   42   61	1	6.193016799996258	1	1.035191640841862
10	93	ring of fire.wav	9.044988662131519	0.4562160652233367	1	6.254337299993495	0.4956432838563195	video game	4.854632100003073	99   52   93  102	4	10.13443679999909	0	1.197334396502654
11	5	James Bond.wav	10.52199546485261	0.4765486693780056	0	n/a	0.4053804388040878	n/a	1.470422799990047	44   13   71    5	3	5.757889700005762	0	1.135345120060581
12	19	billie jean.wav	8.305986394557824	0.4838000826063536	0	n/a	0.4426000965533752	n/a	1.742772799989325	75   80   19   43	2	5.376284600002691	0	1.189627994914294
13	9	a-tisket a-tasket.wav	10.41800453514739	0.401035088406382	1	4.867050799992285	0.4681486594412073	nursey rhyme	6.916981200003647	9   98   10   94	1	3.521378699995694	1	1.194099051014627
14	2	I think I love you.wav	9.272018140589569	0.4479131944216332	0	n/a	0.4691053145035745	n/a	1.384189999997034	18   48   85    2	3	5.112648599999375	0	1.0104056217851
15	28	chicken dance.wav	5.946984126984127	0.4147436109466413	1	3.249014100001659	0.4779781360364744	nursey rhyme	4.200470900002983	3   28  101    1	2	3.956948200007901	1	1.062421433917348
16	52	hot cross buns.wav	6.46	0.4587281761765457	1	4.850669999999809	0.4638965411722762	hot cross buns	4.012635999999475	52   81   83   78	1	1.516470999995363	1	1.192547734381302
17	8	a whole new world.wav	12.98798185941043	0.4917845203194033	1	4.534651600013603	0.4311379176151304	aladdin - a whole new world	8.96050830000604	9    8  101   79	2	2.081865300002391	1	1.131572929657518
18	27	can't help falling in love.wav	13.4990022675737	0.4720837609345964	0	n/a	0.4107847125354553	n/a	1.560131600010209	27   54  111   20	1	6.01674949999142	1	1.122818095797037
19	33	do as I'm doing.wav	11.67102040816327	0.4255574248143453	0	n/a	0.4917815595475684	n/a	1.399874400012777	97   67   33   17	3	3.603795599992736	1	1.097551637938551
20	120	yankee doodle.wav	8.572018140589568	0.4741579234065211	1	3.767316199999186	0.465315879895641	yankee doodle	8.067018700006884	9  118   58  120	4	2.037181199993938	1	1.132400929489801
21	104	star spangled banner.wav	12.83800453514739	0.4335352764622979	1	2.773742300007143	0.4784831814198144	star spangled banner	5.669434499999625	104  117   55   64	1	2.23987269999634	1	1.054163072932494
22	40	eye of the tiger.wav	8.305986394557824	0.4083621033755898	1	4.534710299994913	0.4282462046759496	eye of the tiger	4.899883499994758	53   40   46   73	2	2.042473499997868	1	1.143077491268374
23	13	america the beautiful.wav	9.33201814058957	0.4735587801187683	0	n/a	0.4461198766646453	n/a	1.594013699999778	13   19   49   87	1	3.423333600003389	1	1.063044555378056
24	81	old king cole.wav	9.353015873015874	0.4669377306482633	0	n/a	0.4564719822699481	n/a	1.918840500002261	99   81   11   44	4	7.104559499988682	0	1.067853537223124
25	80	old gray mare.wav	9.33201814058957	0.4273214039204497	1	7.318414399996982	0.4416936130683989	n/a	1.82252650000737	83   11   80   59	1	6.866535399996792	0	1.15417694036951
26	51	home on the range.wav	13.08498866213152	0.4517321249022907	0	n/a	0.4689786976873966	n/a	1.988885600003414	95   51   68   59	4	5.078720899997279	0	1.154825749784113
27	12	amazing grace.wav	8.674013605442177	0.484457431587476	1	4.481420799987973	0.4735828754772757	Amazing Grace	5.783295500004897	27   83   12  103	3	1.540728699997999	1	1.021847225704589
28	32	daisy bell.wav	8.062993197278912	0.4967960176644165	1	5.776370499996119	0.4105927940111129	n/a	1.901302400001441	9   32  113   69	3	5.816189899996971	0	1.059122753876073
29	46	happy birthday.wav	7.078004535147392	0.4989212222263519	1	3.076456000009784	0.4349764078198322	Happy Birthday	5.705627100003767	7   46   95  109	2	1.403474299993832	1	1.169745878560089
30	29	cindy.wav	9.372018140589569	0.4044939533953343	0	n/a	0.4629214992841792	n/a	1.479638700009673	26   29   22  116	3	7.4016002999997	0	1.086947968749333
31	18	be kind to your web-footed friend.wav	6.993015873015873	0.4082175081706041	1	6.328506499994546	0.4628964834299447	nursery rhyme	6.405350100001669	18   14   11   89	1	9.18887790000008	1	1.012343084445197
32	97	rudolph.wav	9.33201814058957	0.4580310772316664	1	1.931755700003123	0.4625733214688011	Rudolph the Red-nosed reindeer	9.300643700000364	109  104   97   74	3	2.667398299992783	1	1.06853191882859
33	65	louie louie.wav	8.860997732426304	0.4511826579291077	0	n/a	0.4189185572623719	n/a	1.479500700006611	65    8  102   21	4	5.116947099988465	0	1.093711655680275
34	110	tequila.wav	9.256009070294784	0.4840414823519589	0	n/a	0.4371306573893864	n/a	1.555008199997246	45  115  110   48	1	4.504883300003712	0	1.167614252528002
35	17	baby love.wav	7.219002267573696	0.426863629656708	0	n/a	0.4566189712205828	n/a	1.514207900007023	17   81   80  119	3	3.660985199996503	0	1.169006517169096
36	1	I feel fine.wav	10.69002267573696	0.4281268909822791	0	n/a	0.4293298426756376	n/a	1.379732100002002	98   48  119    1	4	4.719393899998977	1	1.07441929843975
37	85	over the river and through the woods.wav	13.91301587301587	0.4970400529486166	1	12.71131280000554	0.4449214442381608	n/a	1.955752000008943	43   82   64   85	4	3.775919599996996	1	1.021544757011037
