trialNum	songNumber	songFileName	songDur	fixTime	responded	rt	postMusicTime	reply	promptRT	choicesMC	respMC	rtMC	outcomeMC	preFeedbackTime
1	34	do wah ditty.wav	7.758004535147392	0.4573666234043125	0	n/a	0.4915166590409337	n/a	11.72358050011098	7   34   31   12	2	5.467002999968827	1	1.141404923905617
2	11	alouette.wav	5.946984126984127	0.4504003307359423	1	2.872448800131679	0.462233815651757	Frere Jaque	8.877756000030786	97   61   11   29	3	2.955956399906427	1	1.043290353635405
3	45	great escape.wav	15.75002267573696	0.4587730658685031	1	10.3068710998632	0.4886518604158389	EEG Lab	7.08060219977051	101   16    6   45	2	3.429529499728233	0	1.197642450315487
4	24	buffalo gals.wav	9.331020408163266	0.4727897631539527	1	3.721228400245309	0.4813051156689929	Childhood lullaby	7.650939300190657	24   61   55   58	4	3.680033000186086	0	1.027962887099712
5	85	over the river and through the woods.wav	13.91301587301587	0.4522191981112489	0	n/a	0.4021415806141993	n/a	30.11990280030295	35   66   85   64	1	3.465673000086099	0	1.001730178657177
6	54	if you're happy and you know it.wav	9.090022675736961	0.4251961149835011	1	2.744450799655169	0.4567222796836254	n/a	3.451011400204152	69   81    8   54	3	7.228540299925953	0	1.032965627615686
7	99	she'll be coming 'round the mountain.wav	8.859999999999999	0.483237072647096	1	3.987203999888152	0.4432200649708224	Childhood	6.733620599843562	29   55   99   36	3	2.880672100000083	1	1.063824026527486
8	50	hickory dickory dock.wav	7.077006802721089	0.4378224041609163	0	n/a	0.4099947611424903	n/a	1.988633799832314	5   80   50   77	3	4.944185100030154	1	1.114755660846534
9	44	good night ladies.wav	6.378004535147392	0.4702214545650047	0	n/a	0.4396565644765426	n/a	1.220271999947727	41   44   42  102	2	3.727488699834794	1	1.146130388715832
10	89	pop goes the weasel.wav	7.075011337868481	0.4010269464186392	1	1.939558399841189	0.4827305854882273	Merry-go-roud	8.376291800290346	18   89   56   16	2	2.288051099982113	1	1.082384472280376
11	79	oh where has my little dog gone.wav	8.02	0.40287446307281	1	2.408594700042158	0.4096923865301591	n/a	4.131671499926597	8   45   79   11	3	6.934198299888521	1	1.039734846704871
