trialNum	songNumber	songFileName	songDur	fixTime	responded	rt	postMusicTime	reply	promptRT	choicesMC	respMC	rtMC	outcomeMC	preFeedbackTime
1	90	popeye the sailorman.wav	7.546984126984127	0.4288470643069525	0	n/a	0.4041859800592553	  	5.627969699999085	55   15   58   90	2	8.78097940000589	0	1.128100429553354
2	120	yankee doodle.wav	8.572018140589568	0.4871961479429299	1	3.652450099994894	0.4837501820930881	n/a	7.173952299999655	66   74   34  120	3	7.501377499997034	0	1.094859204424643
3	75	my favorite things.wav	13.92698412698413	0.4714633274098088	0	n/a	0.4301998966149822	n/a	3.752960900004837	72   32   42   75	4	11.36020730000018	1	1.021175429332561
4	17	baby love.wav	7.219002267573696	0.4168006304652372	0	n/a	0.4934576654289931	n/a	2.164370799997414	58    4  112   17	2	3.677321799994388	0	1.173262630247594
5	121	you're a grand old flag.wav	9.33201814058957	0.4584347712241045	0	n/a	0.4946006079930346	n/a	1.549071099994762	95   89   21  121	3	5.813718299999891	0	1.131833817113813
6	8	a whole new world.wav	12.98798185941043	0.4274201448037618	0	n/a	0.4123243018289825	n/a	1.651240099999995	44   34   77    8	1	1.973351000000548	0	1.121075865999743
7	96	rubber duckie.wav	10.64399092970521	0.4953378071317477	0	n/a	0.4660171356948497	n/a	1.473783099994762	96  104   23   48	4	3.260899200002314	0	1.086540059732824
8	119	wouldn't it be nice.wav	8.018004535147393	0.413587552196366	0	n/a	0.4709233213834417	n/a	1.462541599998076	89  120   97  119	2	2.798949100004393	0	1.155851263137002
9	112	the brady bunch.wav	9.331020408163266	0.4102373659148225	0	n/a	0.4086774883670049	n/a	1.123042300001543	47   31   19  112	2	1.671729199995752	0	1.170619067380416
10	86	peanuts.wav	10.50399092970522	0.4875123763197718	0	n/a	0.4458559461017284	n/a	1.22913680000056	86   51   93   16	2	1.378072400002566	0	1.111485475098135
11	101	skip to my lou.wav	8.863990929705215	0.4836382882852834	1	5.350989200000186	0.4581069841420818	n/a	2.849947200003953	101   39   56   49	2	5.787273499998264	0	1.103095937794756
12	108	take me out to the ballgame.wav	6.194013605442177	0.4273562050394273	0	n/a	0.4812519764325258	n/a	1.363915000001725	13   74  116  108	2	2.315496700000949	0	1.067329947739051
13	13	america the beautiful.wav	9.33201814058957	0.4365030326072461	0	n/a	0.4800908744275613	n/a	1.283705299996655	13   10  113   29	1	3.252153200002795	1	1.046527591641637
14	116	this old man.wav	9.393015873015873	0.4504614100176281	1	8.675878800000646	0.4598831901860125	n/a	1.335133599997789	81   29  116   79	1	4.083268899994437	0	1.174549438315522
15	58	itsy bitsy spider.wav	9.802993197278912	0.4167857573369123	1	3.836242099998344	0.4267248022563853	n/a	1.36328869999852	107   58   89   27	2	5.901843999999983	1	1.134257314531339
16	51	home on the range.wav	13.08498866213152	0.4874290256606265	0	n/a	0.4373291759991172	n/a	1.509789600000659	41   51   63   11	2	5.399726900002861	1	1.166833250950364
17	15	another one bites the dust.wav	12.46897959183674	0.4179619035967096	0	n/a	0.4945295356401777	n/a	2.660631600003398	22   52   46   15	2	2.412256399999023	0	1.163848347064895
18	92	ring around the rosie.wav	7.034013605442177	0.4356997985882635	0	n/a	0.4963886902542596	n/a	1.244934000002104	92   45    6   91	1	3.509804100001929	1	1.1215403869787
19	93	ring of fire.wav	9.044988662131519	0.4844599668455453	0	n/a	0.4742131706036802	  	2.096325899998192	78   52   18   93	4	6.967461299995193	1	1.009633202711058
20	3	I think we're alone now.wav	6.298004535147392	0.4967368648793151	0	n/a	0.417902349930162	n/a	1.980530499997258	3   64   39   54	3	7.680217499997525	0	1.09180006828186
21	81	old king cole.wav	9.353015873015874	0.4201456587236589	1	7.071381200003088	0.4723110846440028	n/a	2.582503700003144	81   74   80    6	2	5.934958100006043	0	1.00893425591151
22	25	bye baby bunting.wav	6.319002267573696	0.4849988902346017	0	n/a	0.4212877697724167	n/a	1.585314199997811	13  120   25   86	3	5.780059299999266	1	1.020321783242297
23	89	pop goes the weasel.wav	7.075011337868481	0.4209369005027049	1	3.97961110000324	0.4140687546965228	n/a	1.463709999996354	121   89   40   82	1	6.440157000004547	0	1.155255631923422
24	88	polly wolly doodle.wav	9.334013605442177	0.445227242485922	1	4.261174499995832	0.4282867285119228	n/a	1.196285600002739	9   50   27   88	2	6.516714700002922	0	1.100476799332255
25	18	be kind to your web-footed friend.wav	6.993015873015873	0.4494155391398588	0	n/a	0.4114982297104026	n/a	1.951407199994719	82    9   18  119	2	1.837811599994893	0	1.036472705337979
26	36	do-re-mi.wav	12.94399092970522	0.4150875769841035	0	n/a	0.4992029619599657	n/a	0.7259869999979855	74   42    7   36	1	3.505731199998991	0	1.078212348780918
27	78	oh susanna.wav	12.05800453514739	0.403787572368744	1	5.801767500001006	0.450791589555989	n/a	1.034806099996786	78   44   52   91	4	4.950310799998988	0	1.129706266731887
28	62	let it snow.wav	9.334013605442177	0.4550537099408525	0	n/a	0.4051634337496446	n/a	0.68883790000109	62   57  120   75	1	6.228875599997991	1	1.104297728496421
29	77	ob la di ob la da.wav	14.81401360544218	0.4827373588889241	0	n/a	0.4469287250901721	n/a	1.078323000001546	77   78  105   67	2	1.974321200003033	0	1.088805335973052
30	55	in a gadda da vida.wav	8.306984126984126	0.4988223674346957	0	n/a	0.4186641409256956	n/a	1.237853199992969	80   55  117   89	1	2.203156199997466	0	1.103690431942621
31	43	get ready.wav	7.080997732426304	0.4422983624450711	0	n/a	0.4119736012147798	n/a	1.238407999997435	116   19  101   43	1	5.501651200000197	0	1.037493087097729
32	44	good night ladies.wav	6.378004535147392	0.4920204517999245	0	n/a	0.4493277346746268	n/a	1.154141500002879	67    2   44   74	4	4.823063800002274	0	1.191398001934709
33	46	happy birthday.wav	7.078004535147392	0.4434917798657414	1	2.894378900004085	0.4260831337738102	happy birthday song	22.6249403000038	97   46   59   81	2	1.719314699999813	1	1.059285082296997
34	11	alouette.wav	5.946984126984127	0.4555643116906497	1	4.042000200002803	0.4133857732068197	n/a	1.825157999999647	11   36   17  119	1	7.606196500004444	1	1.108225819989295
35	27	can't help falling in love.wav	13.4990022675737	0.441906822007628	1	5.808154999998806	0.4413805006271427	n/a	1.922077600000193	17   30   27  116	3	3.151090800005477	1	1.083309979716793
36	20	bingo.wav	8.920997732426304	0.4005944555431361	1	3.939390500003356	0.4449873092646577	n/a	1.101187200001732	20  117   82  108	2	4.958449300000211	0	1.022912492908066
37	94	rock-a-bye baby.wav	13.92498866213152	0.4729100837108384	1	6.524967599994852	0.4621938317865747	n/a	1.251564400001371	113   19   94   25	1	9.513808399999107	0	1.059181831041932
38	64	london bridge.wav	6.706984126984127	0.443221234339033	1	2.521577100000286	0.4915013183998685	n/a	1.134458499996981	15   64   57   36	2	2.77098329999717	1	1.158017911323082
39	87	peter and the wolf.wav	10.82798185941043	0.4976992459114046	0	n/a	0.4991442294301679	n/a	1.540894300000218	103   87  116   14	2	3.837608100002399	1	1.082130116543918
40	82	old mcdonald.wav	9.046984126984126	0.4305530533706894	1	2.468783999996958	0.4772528359778412	n/a	2.803954899995006	4   98   73   82	2	9.069523600002867	0	1.093907942591155
41	83	on top of old smokey.wav	12.79700680272109	0.4814517223974926	0	n/a	0.4647197132940545	n/a	0.8963956000006874	10   37   21   83	2	2.527186999999685	0	1.040567116173521
42	102	smoke on the water.wav	7.838004535147392	0.4892763328396668	0	n/a	0.4209665753064312	  	3.245222000005015	32  113  102   28	2	3.307308700001158	0	1.013202534980968
43	107	swing low sweet chariot.wav	9.66	0.4916190240284624	1	6.797500400003628	0.4767620945038815	n/a	1.465643400006229	107   80   95   70	2	4.437122100003762	0	1.094762706554941
44	21	blow the man down.wav	8.491020408163266	0.4626128057048875	0	n/a	0.4100581247735093	n/a	1.433202000000165	21   96  119   67	1	3.3594987999968	1	1.157548691991957
45	106	super mario world.wav	12.28598639455782	0.4360862174669226	1	9.066683099998045	0.4780698572217072	n/a	1.13767970000481	59   13   72  106	4	6.763491899997462	1	1.134391989408628
46	111	the bare necessities.wav	8.511020408163265	0.4552565748404135	0	n/a	0.4716831201147991	n/a	1.05341480000061	108   74    3  111	2	4.453190400003223	0	1.096871963571179
47	48	heigh-ho.wav	10.50299319727891	0.480568805672963	0	n/a	0.481216904029776	n/a	1.058004000005894	48   78   46   69	4	4.120833499997389	0	1.141818514862036
48	104	star spangled banner.wav	12.83800453514739	0.4392583899804929	0	n/a	0.4136553729954071	n/a	1.068199099994672	15   35  104   24	2	8.861213199998019	0	1.186920981580506
49	71	mickey mouse march.wav	4.778004535147392	0.4928715656395798	1	4.360948900000949	0.4212717459631236	n/a	0.9602056000003358	78   90   71  117	2	3.048828899998625	0	1.071863829555233
50	30	clementine.wav	8.716009070294785	0.4732127286472148	1	5.108183199998166	0.4236908305873732	n/a	1.38472929999989	90   30   69   75	3	7.262237599999935	0	1.185131439146582
51	109	teddy bear picnic.wav	8.161995464852607	0.4792464473406571	0	n/a	0.4047175236908	n/a	1.642831800003478	78   17  109   26	3	5.346794399993087	1	1.091354036945061
52	26	camptown races.wav	8.305986394557824	0.4339499754836675	0	n/a	0.4135648960080586	n/a	0.8656162999977823	40   49   90   26	3	4.541552400005457	0	1.088757832856042
53	91	puff the magic dragon.wav	9.333015873015873	0.4689136823905053	0	n/a	0.4706409965928902	n/a	1.095867500000168	69   12   50   91	2	5.015377200004878	0	1.143507529808294
54	32	daisy bell.wav	8.062993197278912	0.4998963523857268	0	n/a	0.4548936277994748	n/a	0.8011917999974685	46   50   32    1	2	3.562719100002141	0	1.066525338964671
55	38	eight days a week.wav	12.28399092970522	0.4680863100831303	0	n/a	0.4494471403478176	n/a	0.6053109000058612	111  105   89   38	2	5.817298599999049	0	1.052018949635624
56	74	my country 'tis of thee.wav	14.21201814058957	0.4426668361286523	0	n/a	0.4445626280369042	n/a	1.111609500003397	72   74   78   10	1	2.413652299997921	0	1.104519111130537
57	99	she'll be coming 'round the mountain.wav	8.859999999999999	0.4306996675266619	0	n/a	0.4276530827964558	n/a	0.8935239999991609	8   28   99  100	1	4.351157600001898	0	1.197501750699266
58	69	mary had a little lamb.wav	9.045986394557824	0.4575161357196237	1	4.057124899998598	0.4954533221414487	n/a	0.7929497000004631	69   40  111   29	1	3.472348600000259	1	1.094900104499076
