trialNum	songNumber	songFileName	songDur	fixTime	responded	rt	postMusicTime	reply	promptRT	choicesMC	respMC	rtMC	outcomeMC	preFeedbackTime
1	74	my country 'tis of thee.wav	14.21201814058957	0.4389302936275368	1	9.9894643999869	0.4036124564527339	n/a	7.492399999988265	103   74   22   68	3	5.993755199946463	0	1.084799589691681
2	12	amazing grace.wav	8.674013605442177	0.4333868880093918	1	3.117101999931037	0.4984386262817149	christmas song?	11.2046021000715	12   38   55   14	1	2.990744300070219	1	1.097679184530941
3	73	my bonnie lies over the ocean.wav	6.788979591836735	0.4061583149868049	1	2.534718899987638	0.4484294697097158	bonnie lies over the ocean	7.644223400042392	104  119   39   73	4	2.395356300054118	1	1.100218940505107
4	83	on top of old smokey.wav	12.79700680272109	0.4001789695078922	1	3.334889300051145	0.4386863597394985	n/a	3.045413599931635	6   83  101   95	2	4.486294599948451	1	1.196029085143048
5	69	mary had a little lamb.wav	9.045986394557824	0.4346553333644208	1	1.546045499970205	0.4011123779082629	mary had a little lamb	9.696972499950789	7   39   69   18	3	2.350999599904753	1	1.194996383506567
6	15	another one bites the dust.wav	12.46897959183674	0.4788056103564046	1	4.016076699947007	0.4433292773321538	another one bites the dust	6.361528099980205	99   15   96   87	2	1.794038900057785	1	1.051006770307862
7	19	billie jean.wav	8.305986394557824	0.4519619182908679	1	4.815701199928299	0.4224454276847412	n/a	1.182416999945417	63   26    4   19	4	4.818300600047223	1	1.102766993946391
8	98	sesame street.wav	9.885986394557824	0.4367599604785075	1	2.77507129998412	0.4427614454334816	n/a	1.171067100018263	104   93   98   49	3	6.585880500031635	1	1.096108022477875
9	38	eight days a week.wav	12.28399092970522	0.4160187999902203	1	1.594011800014414	0.402402870819402	mary had a little lamb	10.6567350999685	81   79   38   83	2	5.279276499990374	0	1.157083286275455
10	31	copacabana.wav	9.372018140589569	0.4667963729417187	1	3.136549800052308	0.4700052195952092	n/a	2.105503999977373	4   96   92   31	4	5.306569700012915	1	1.10524335719908
11	89	pop goes the weasel.wav	7.075011337868481	0.4061986272788576	1	1.412274400005117	0.4354785441613689	mulberry bush	6.927873899927363	34  118   78   89	4	3.32689849997405	1	1.1638144951845
12	57	it's a small world.wav	9.291020408163265	0.4435749395659415	1	3.021290500066243	0.4935977876486846	n/a	1.681219900026917	53   33   80   57	3	5.651427999953739	0	1.147081422915738
13	76	my girl.wav	10.44498866213152	0.4827469150698201	1	3.161586100002751	0.4568953365089	n/a	1.405605599982664	100   45   76  112	3	4.117847500019707	1	1.034426786777954
14	49	hello mudduh, hello fadduh.wav	10.60199546485261	0.4053701804885375	0	n/a	0.4765772507299989	n/a	1.942599699948914	49   51   92  102	2	3.78883589990437	0	1.105054284682861
15	114	the muffin man.wav	9.051020408163266	0.4717253809946125	1	1.451879300060682	0.4057561130190983	nursery rhyme	7.360183199984021	30  102   85  114	4	3.156936099985614	1	1.036385793515412
16	37	down in my heart.wav	8.388979591836735	0.41672843220621	1	4.433879800024442	0.4884270522894272	n/a	2.320810899953358	110   37   91   13	2	3.373760399990715	1	1.097399700711185
17	48	heigh-ho.wav	10.50299319727891	0.4019961112313035	1	3.508079999941401	0.4602820537038551	i go i go 	3.645143799949437	61   48   66   81	2	3.716864299960434	1	1.08357096363745
18	51	home on the range.wav	13.08498866213152	0.4113607217934696	1	2.964421199983917	0.4316591833485939	n/a	1.207387899979949	6   51    2   41	4	3.168633299996145	0	1.191594351221433
19	84	over the rainbow.wav	17.06698412698413	0.4554237366761845	1	2.270569200045429	0.4956644894673888	n/a	1.653104800032452	67   84   23   85	2	1.854403800098225	1	1.052730203255189
20	54	if you're happy and you know it.wav	9.090022675736961	0.4357681408405279	1	1.709141200059094	0.4431060047759496	n/a	4.81045610003639	16  111   26   54	4	2.793931300053373	1	1.007387443023408
21	81	old king cole.wav	9.353015873015874	0.4424046715977005	0	n/a	0.4603921386822305	n/a	1.065937999985181	82   81   86  120	4	3.397294900030829	0	1.002592369525895
22	3	I think we're alone now.wav	6.298004535147392	0.4925417016774692	1	5.726747600012459	0.4197356368879822	n/a	1.295705799944699	6    3   81  107	4	2.529902699985541	0	1.06220285500525
23	50	hickory dickory dock.wav	7.077006802721089	0.4240519037674594	1	1.783136200043373	0.4264855373329891	n/a	2.66811470000539	3   86    2   50	4	3.222675299970433	1	1.068150335249008
24	27	can't help falling in love.wav	13.4990022675737	0.4207199535109628	1	10.51119019999169	0.471808902852385	n/a	1.22229329997208	29   27   80   51	2	1.975344900041819	1	1.134529232571656
25	32	daisy bell.wav	8.062993197278912	0.4890367529353227	1	2.161800700007007	0.4504784708731219	n/a	1.057051799958572	32   58   96   79	2	2.974392700009048	0	1.032534426960323
26	82	old mcdonald.wav	9.046984126984126	0.4871464484244604	1	1.802484799991362	0.4188442524169391	old mcdonal 	7.062104800017551	60    9  109   82	4	2.243378099985421	1	1.013875406727633
27	39	everlasting love.wav	8.305986394557824	0.4755270617884113	1	2.069657400017604	0.4704950076989996	 	2.91532179992646	39  111    7  115	3	3.752291799988598	0	1.050400436522376
28	99	she'll be coming 'round the mountain.wav	8.859999999999999	0.4068079699742835	1	3.321417800034396	0.4991958758997332	n/a	6.31166879995726	103   29   99   63	3	2.078166899969801	1	1.085467461421249
29	11	alouette.wav	5.946984126984127	0.4363666064612193	1	1.564057499985211	0.4351531801642424	n/a	1.907101499964483	11    6   74  114	1	2.535557899973355	1	1.02944048926893
30	110	tequila.wav	9.256009070294784	0.4421867036774512	1	1.021156500093639	0.4329830664197395	merry christmas 	5.265460600028746	118   15   27  110	1	3.711383200017735	0	1.106795471306466
31	59	jimmy crack corn.wav	9.063990929705215	0.4356227850884574	1	2.39890699996613	0.4007458218964881	n/a	1.750376799958758	105   68   59   64	4	3.88924029993359	0	1.193157943012674
32	29	cindy.wav	9.372018140589569	0.4022550803099963	1	5.77880600001663	0.4149225589238	n/a	1.551553500001319	29   53   27   44	2	5.665872299927287	0	1.030495234526438
33	115	there's a hole in the bucket.wav	7.365986394557823	0.4596776135365155	1	3.605339400004596	0.4302948955325738	n/a	1.368543399963528	108   10    3  115	1	2.090098800021224	0	1.077925934573439
34	36	do-re-mi.wav	12.94399092970522	0.4962015367716111	1	2.722574599902146	0.4353352048345714	doe a deer	4.0374324999284	61   36   44   85	4	7.111963400035165	0	1.083666321523493
35	56	iron man.wav	10.60498866213152	0.4920932428954147	1	4.079543299973011	0.4935542870989194	n/a	1.63270780001767	59   53   68   56	4	2.9376731000375	1	1.077948817992058
36	119	wouldn't it be nice.wav	8.018004535147393	0.4769666795453954	1	1.49645600002259	0.461455443334623	n/a	1.190643500071019	21   78  119   81	3	4.680707199964672	1	1.014949861570446
37	70	michael row the boat ashore.wav	9.372018140589569	0.4565795397588282	1	2.571330499951728	0.4072034405722353	n/a	1.775629000039771	99   49  112   70	3	4.535985999973491	0	1.08275949149776
38	34	do wah ditty.wav	7.758004535147392	0.4513454750561285	0	n/a	0.4116466167486427	n/a	1.367691499995999	120   34   64   83	4	4.362864500028081	0	1.084461028375721
39	100	shoo fly.wav	9.372018140589569	0.4052860253123748	1	2.894626799970865	0.4133812317598808	n/a	1.422116799978539	106   38   41  100	3	5.319760200101882	0	1.184038195229878
40	22	blowin' in the wind.wav	9.950022675736962	0.4807756695042746	1	2.199997700052336	0.4152884845049231	n/a	1.298042000038549	22    7   27   98	1	2.83317530003842	1	1.038436705896274
41	78	oh susanna.wav	12.05800453514739	0.4493115034736065	1	1.993072499986738	0.41976366019244	n/a	1.387798299896531	73   80   78   46	2	3.992041200050153	0	1.048562631423023
42	45	great escape.wav	15.75002267573696	0.4786783713250839	1	1.691556400037371	0.4572123071394957	n/a	1.790497799986042	101   45   69   99	2	7.092425899929367	1	1.061489456870712
43	35	do your ears hang low.wav	9.661995464852607	0.4365744892698175	1	1.27484710002318	0.4940966487018831	n/a	2.983700199984014	110   35   52   90	2	2.652054299949668	1	1.092209898900762
44	7	a spoonful of sugar.wav	8.531020408163265	0.4860229461694265	1	2.912357700057328	0.4040882643308298	n/a	1.534224799950607	7   14  103   84	2	5.028861099970527	0	1.101560819620807
45	14	angel is my centerfold (Example).wav	8.345986394557823	0.4999136623740972	1	1.925477700075135	0.4459835228572322	n/a	1.329728999990039	99   35   59   14	4	4.169970099930651	1	1.110849530788812
46	77	ob la di ob la da.wav	14.81401360544218	0.4266448286402109	1	6.059291999903508	0.4561873476204512	  	3.128478800063021	10   77   23   36	2	5.213887699996121	1	1.129628001736599
47	104	star spangled banner.wav	12.83800453514739	0.4668049669100991	1	1.275520699913613	0.4035717255437671	star spangled banner	6.761732700048015	104   64   45   85	1	1.422093499917537	1	1.16480077495279
48	94	rock-a-bye baby.wav	13.92498866213152	0.4285083518178123	1	2.140602899948135	0.4021142267418281	hush little baby	6.67530430003535	97   25   94   26	3	2.800230999942869	1	1.047010364166397
49	87	peter and the wolf.wav	10.82798185941043	0.4769795105271843	1	1.576059599989094	0.438136157448371	nursery rhyme 	5.005363500094973	50   59   54   87	1	4.85031180002261	0	1.046689461007209
50	86	peanuts.wav	10.50399092970522	0.4748157314539356	0	n/a	0.4123848782814566	n/a	1.022822499973699	47   56   55   86	1	3.444598000030965	0	1.047994627799985
51	13	america the beautiful.wav	9.33201814058957	0.4935591558726083	1	5.253235599957407	0.4172121091522463	n/a	1.341084699961357	13   32   15   42	4	3.66975579992868	0	1.05483858310673
52	6	YMCA.wav	14.33501133786848	0.4424276516497127	1	10.84597909997683	0.4296698747946548	n/a	1.750429600011557	6   17   51    1	1	4.474777799914591	1	1.124401584841281
53	26	camptown races.wav	8.305986394557824	0.4786584864064578	1	1.887867600074969	0.4589938005876875	oh di do dad day	7.676421000040136	35   26   95   51	2	3.852957500028424	1	1.072507393507191
