onset	duration	sample	value	stim_file
49.982	0.001	49982	1	be kind to your web-footed friend.wav
50.06290023	0	50062.9002	noteOnset	n/a
50.06290023	0	50062.9002	noteOnset	n/a
50.46290023	0	50462.9002	noteOnset	n/a
50.46290023	0	50462.9002	noteOnset	n/a
50.86299093	0	50862.9909	noteOnset	n/a
50.86299093	0	50862.9909	noteOnset	n/a
51.06299093	0	51062.9909	noteOnset	n/a
51.06299093	0	51062.9909	noteOnset	n/a
51.26299093	0	51262.9909	noteOnset	n/a
51.26299093	0	51262.9909	noteOnset	n/a
51.66299093	0	51662.9909	noteOnset	n/a
51.66299093	0	51662.9909	noteOnset	n/a
51.86308163	0	51863.0816	noteOnset	n/a
51.86308163	0	51863.0816	noteOnset	n/a
52.06308163	0	52063.0816	noteOnset	n/a
52.06308163	0	52063.0816	noteOnset	n/a
53.26321769	0	53263.2177	noteOnset	n/a
53.26321769	0	53263.2177	noteOnset	n/a
53.46321769	0	53463.2177	noteOnset	n/a
53.46321769	0	53463.2177	noteOnset	n/a
53.66321769	0	53663.2177	noteOnset	n/a
53.66321769	0	53663.2177	noteOnset	n/a
54.06321769	0	54063.2177	noteOnset	n/a
54.06321769	0	54063.2177	noteOnset	n/a
54.26321769	0	54263.2177	noteOnset	n/a
54.26321769	0	54263.2177	noteOnset	n/a
54.46330839	0	54463.3084	noteOnset	n/a
54.46330839	0	54463.3084	noteOnset	n/a
54.86330839	0	54863.3084	noteOnset	n/a
54.86330839	0	54863.3084	noteOnset	n/a
55.06330839	0	55063.3084	noteOnset	n/a
55.06330839	0	55063.3084	noteOnset	n/a
55.26330839	0	55263.3084	noteOnset	n/a
55.26330839	0	55263.3084	noteOnset	n/a
56.06339909	0	56063.3991	noteOnset	n/a
56.06339909	0	56063.3991	noteOnset	n/a
57.443	0.001	57443	3	n/a
64.335	0.001	64335	4	n/a
64.38	0.001	64380	5	n/a
75.061	0.001	75061	6	n/a
76.177	0.001	76177	7	n/a
99.169	0.001	99169	1	sugar sugar.wav
99.24988435	0	99249.8844	noteOnset	n/a
99.24988435	0	99249.8844	noteOnset	n/a
99.49999773	0	99499.9977	noteOnset	n/a
99.49999773	0	99499.9977	noteOnset	n/a
99.74997506	0	99749.9751	noteOnset	n/a
99.74997506	0	99749.9751	noteOnset	n/a
100.0000884	0	100000.0884	noteOnset	n/a
100.0000884	0	100000.0884	noteOnset	n/a
100.2500658	0	100250.0658	noteOnset	n/a
100.2500658	0	100250.0658	noteOnset	n/a
100.5001791	0	100500.1791	noteOnset	n/a
100.5001791	0	100500.1791	noteOnset	n/a
101.0001791	0	101000.1791	noteOnset	n/a
101.0001791	0	101000.1791	noteOnset	n/a
101.5002698	0	101500.2698	noteOnset	n/a
101.5002698	0	101500.2698	noteOnset	n/a
102.0003605	0	102000.3605	noteOnset	n/a
102.0003605	0	102000.3605	noteOnset	n/a
102.7503832	0	102750.3832	noteOnset	n/a
102.7503832	0	102750.3832	noteOnset	n/a
103.0004966	0	103000.4966	noteOnset	n/a
103.0004966	0	103000.4966	noteOnset	n/a
103.2504739	0	103250.4739	noteOnset	n/a
103.2504739	0	103250.4739	noteOnset	n/a
103.5004966	0	103500.4966	noteOnset	n/a
103.5004966	0	103500.4966	noteOnset	n/a
103.7504739	0	103750.4739	noteOnset	n/a
103.7504739	0	103750.4739	noteOnset	n/a
104.0004966	0	104000.4966	noteOnset	n/a
104.0004966	0	104000.4966	noteOnset	n/a
104.2505646	0	104250.5646	noteOnset	n/a
104.2505646	0	104250.5646	noteOnset	n/a
104.5005873	0	104500.5873	noteOnset	n/a
104.5005873	0	104500.5873	noteOnset	n/a
105.0005873	0	105000.5873	noteOnset	n/a
105.0005873	0	105000.5873	noteOnset	n/a
105.5005873	0	105500.5873	noteOnset	n/a
105.5005873	0	105500.5873	noteOnset	n/a
107.423	0.001	107423	3	n/a
110.205	0.001	110205	4	n/a
110.375	0.001	110375	5	n/a
119.689	0.001	119689	6	n/a
120.843	0.001	120843	8	n/a
128.366	0.001	128366	1	popeye the sailorman.wav
128.4468005	0	128446.8005	noteOnset	n/a
128.4468005	0	128446.8005	noteOnset	n/a
128.8755079	0	128875.5079	noteOnset	n/a
128.8755079	0	128875.5079	noteOnset	n/a
129.0183651	0	129018.3651	noteOnset	n/a
129.0183651	0	129018.3651	noteOnset	n/a
129.1612676	0	129161.2676	noteOnset	n/a
129.1612676	0	129161.2676	noteOnset	n/a
129.3040794	0	129304.0794	noteOnset	n/a
129.3040794	0	129304.0794	noteOnset	n/a
129.5898844	0	129589.8844	noteOnset	n/a
129.5898844	0	129589.8844	noteOnset	n/a
129.7327868	0	129732.7868	noteOnset	n/a
129.7327868	0	129732.7868	noteOnset	n/a
130.4472086	0	130447.2086	noteOnset	n/a
130.4472086	0	130447.2086	noteOnset	n/a
130.5900658	0	130590.0658	noteOnset	n/a
130.5900658	0	130590.0658	noteOnset	n/a
130.7329683	0	130732.9683	noteOnset	n/a
130.7329683	0	130732.9683	noteOnset	n/a
130.8758707	0	130875.8707	noteOnset	n/a
130.8758707	0	130875.8707	noteOnset	n/a
131.0186825	0	131018.6825	noteOnset	n/a
131.0186825	0	131018.6825	noteOnset	n/a
131.3044875	0	131304.4875	noteOnset	n/a
131.3044875	0	131304.4875	noteOnset	n/a
131.44739	0	131447.39	noteOnset	n/a
131.44739	0	131447.39	noteOnset	n/a
132.1616757	0	132161.6757	noteOnset	n/a
132.1616757	0	132161.6757	noteOnset	n/a
132.3045782	0	132304.5782	noteOnset	n/a
132.3045782	0	132304.5782	noteOnset	n/a
132.4474807	0	132447.4807	noteOnset	n/a
132.4474807	0	132447.4807	noteOnset	n/a
132.5902925	0	132590.2925	noteOnset	n/a
132.5902925	0	132590.2925	noteOnset	n/a
132.733195	0	132733.195	noteOnset	n/a
132.733195	0	132733.195	noteOnset	n/a
132.8761429	0	132876.1429	noteOnset	n/a
132.8761429	0	132876.1429	noteOnset	n/a
133.0189093	0	133018.9093	noteOnset	n/a
133.0189093	0	133018.9093	noteOnset	n/a
133.1617664	0	133161.7664	noteOnset	n/a
133.1617664	0	133161.7664	noteOnset	n/a
133.3046689	0	133304.6689	noteOnset	n/a
133.3046689	0	133304.6689	noteOnset	n/a
133.4474807	0	133447.4807	noteOnset	n/a
133.4474807	0	133447.4807	noteOnset	n/a
133.5903832	0	133590.3832	noteOnset	n/a
133.5903832	0	133590.3832	noteOnset	n/a
133.7332857	0	133733.2857	noteOnset	n/a
133.7332857	0	133733.2857	noteOnset	n/a
133.8761882	0	133876.1882	noteOnset	n/a
133.8761882	0	133876.1882	noteOnset	n/a
134.019	0	134019	noteOnset	n/a
134.019	0	134019	noteOnset	n/a
134.1619025	0	134161.9025	noteOnset	n/a
134.1619025	0	134161.9025	noteOnset	n/a
134.3046689	0	134304.6689	noteOnset	n/a
134.3046689	0	134304.6689	noteOnset	n/a
134.4475714	0	134447.5714	noteOnset	n/a
