onset	duration	sample	value	stim_file
15.672	0.001	15672	1	I've been working on the railroad.wav
15.7528322	0	15752.8322	noteOnset	n/a
15.7528322	0	15752.8322	noteOnset	n/a
16.18140363	0	16181.4036	noteOnset	n/a
16.18140363	0	16181.4036	noteOnset	n/a
16.32439683	0	16324.3968	noteOnset	n/a
16.32439683	0	16324.3968	noteOnset	n/a
16.53872789	0	16538.7279	noteOnset	n/a
16.53872789	0	16538.7279	noteOnset	n/a
16.61020181	0	16610.2018	noteOnset	n/a
16.61020181	0	16610.2018	noteOnset	n/a
16.82453288	0	16824.5329	noteOnset	n/a
16.82453288	0	16824.5329	noteOnset	n/a
16.8960068	0	16896.0068	noteOnset	n/a
16.8960068	0	16896.0068	noteOnset	n/a
17.46752608	0	17467.5261	noteOnset	n/a
17.46752608	0	17467.5261	noteOnset	n/a
18.03913605	0	18039.1361	noteOnset	n/a
18.03913605	0	18039.1361	noteOnset	n/a
18.46770748	0	18467.7075	noteOnset	n/a
18.46770748	0	18467.7075	noteOnset	n/a
18.61060998	0	18610.61	noteOnset	n/a
18.61060998	0	18610.61	noteOnset	n/a
18.89632426	0	18896.3243	noteOnset	n/a
18.89632426	0	18896.3243	noteOnset	n/a
19.18212925	0	19182.1293	noteOnset	n/a
19.18212925	0	19182.1293	noteOnset	n/a
19.748	0.001	19748	2	n/a
20.336	0.001	20336	3	n/a
25.5	0.001	25500	4	n/a
25.656	0.001	25656	5	n/a
31.469	0.001	31469	6	n/a
32.624	0.001	32624	8	n/a
39.028	0.001	39028	1	on top of old smokey.wav
39.10970295	0	39109.7029	noteOnset	n/a
39.10970295	0	39109.7029	noteOnset	n/a
39.40970295	0	39409.7029	noteOnset	n/a
39.40970295	0	39409.7029	noteOnset	n/a
39.70956689	0	39709.5669	noteOnset	n/a
39.70956689	0	39709.5669	noteOnset	n/a
40.00956689	0	40009.5669	noteOnset	n/a
40.00956689	0	40009.5669	noteOnset	n/a
40.30956689	0	40309.5669	noteOnset	n/a
40.30956689	0	40309.5669	noteOnset	n/a
41.20956689	0	41209.5669	noteOnset	n/a
41.20956689	0	41209.5669	noteOnset	n/a
