trialNum	songNumber	songFileName	songDur	fixTime	responded	rt	postMusicTime	reply	promptRT	choicesMC	respMC	rtMC	outcomeMC	preFeedbackTime
1	21	blow the man down.wav	8.491020408163266	0.4291490630854778	0	n/a	0.4682109073552134	n/a	1.701959800004261	91   89   21   95	2	2.939250600000378	0	1.010253236219018
2	121	you're a grand old flag.wav	9.33201814058957	0.4166548891677379	0	n/a	0.4898457813319191	n/a	1.006934500008356	105  121    5   54	2	2.242268300004071	1	1.074989792895338
3	12	amazing grace.wav	8.674013605442177	0.42850488189983	1	4.452752800018061	0.4953782333215789	amazing grace	9.525718599994434	54   12  117   82	2	2.3918955999834	1	1.056975058145059
4	93	ring of fire.wav	9.044988662131519	0.4945636233237293	1	8.393622199975653	0.4614281645643815	 	6.398623399989447	93   58   10  115	1	9.011710099992342	1	1.111533399209277
5	58	itsy bitsy spider.wav	9.802993197278912	0.4116036056605452	1	6.676816499995766	0.423565953127411	n/a	1.406711300020106	93   84   58   86	3	2.949211500003003	1	1.039479102510131
6	76	my girl.wav	10.44498866213152	0.4089874688280782	0	n/a	0.4713506574597292	n/a	0.8842074999993201	76  111  119   29	3	3.390719399991212	0	1.031298713738441
7	67	love me do.wav	12.46798185941043	0.4072316393567942	0	n/a	0.4922036903589042	n/a	0.8205114000011235	15   67  103   58	2	4.660115699982271	1	1.069899015414617
8	43	get ready.wav	7.080997732426304	0.4632622638615681	0	n/a	0.4620024487761582	n/a	1.323235399991972	70   85   43   14	4	4.398514700005762	0	1.048427244640588
9	28	chicken dance.wav	5.946984126984127	0.4101054837904247	1	3.748250799981179	0.4084133852000021	n/a	1.332236599992029	113  107   28   87	4	9.929155099991476	0	1.058294318644912
10	75	my favorite things.wav	13.92698412698413	0.4704574542473726	1	4.86156559997471	0.4212878675630886	n/a	5.352677999995649	70    8   63   75	4	6.643520200013882	1	1.12378918395712
11	102	smoke on the water.wav	7.838004535147392	0.4146363901444681	0	n/a	0.4374376052509723	n/a	0.9600576000229921	118  105   88  102	4	3.957660300016869	1	1.014815622812528
12	74	my country 'tis of thee.wav	14.21201814058957	0.409065098996677	0	n/a	0.4498828823350636	n/a	1.230655499995919	118   14   15   74	4	4.886695599998347	1	1.055021418641487
13	38	eight days a week.wav	12.28399092970522	0.4978872669745896	0	n/a	0.4603879900473257	n/a	1.058181699976558	101   73   38   59	2	6.043930999992881	0	1.091841834821791
14	101	skip to my lou.wav	8.863990929705215	0.4026483325981304	0	n/a	0.4639817480133581	n/a	0.85951379998005	23  101  107   24	2	3.138593899988336	1	1.042883801798176
15	17	baby love.wav	7.219002267573696	0.4146363306385632	0	n/a	0.4017471116357716	n/a	1.315048799995566	17    9   41   60	2	3.032765900017694	0	1.167790713872739
16	10	all my loving.wav	11.52498866213152	0.4515102366079358	0	n/a	0.4269286758223332	n/a	4.487372300005518	37   10   28   38	3	4.033553400018718	0	1.147123965203015
17	48	heigh-ho.wav	10.50299319727891	0.4424732642518769	0	n/a	0.4409009381865721	n/a	1.397201199986739	48   88  107   14	4	4.579569599998649	0	1.04991583719558
18	97	rudolph.wav	9.33201814058957	0.4602638732933811	0	n/a	0.433745669145632	n/a	1.013170199992601	20  118   97   98	3	2.758364999986952	1	1.001877204852664
19	32	daisy bell.wav	8.062993197278912	0.4395059845641067	0	n/a	0.4937570081441011	n/a	1.891327599994838	51   19   32   11	3	3.002943500003312	1	1.124825833161512
