onset	duration	sample	value	stim_file
145.237	0.001	145237	1	teddy bear picnic.wav
145.3178209	0	145317.8209	noteOnset	n/a
145.3178209	0	145317.8209	noteOnset	n/a
145.4844875	0	145484.4875	noteOnset	n/a
145.4844875	0	145484.4875	noteOnset	n/a
145.8178209	0	145817.8209	noteOnset	n/a
145.8178209	0	145817.8209	noteOnset	n/a
145.9844875	0	145984.4875	noteOnset	n/a
145.9844875	0	145984.4875	noteOnset	n/a
146.1511995	0	146151.1995	noteOnset	n/a
146.1511995	0	146151.1995	noteOnset	n/a
146.3178209	0	146317.8209	noteOnset	n/a
146.3178209	0	146317.8209	noteOnset	n/a
146.4844875	0	146484.4875	noteOnset	n/a
146.4844875	0	146484.4875	noteOnset	n/a
146.8179116	0	146817.9116	noteOnset	n/a
146.8179116	0	146817.9116	noteOnset	n/a
146.9846236	0	146984.6236	noteOnset	n/a
146.9846236	0	146984.6236	noteOnset	n/a
147.3179116	0	147317.9116	noteOnset	n/a
147.3179116	0	147317.9116	noteOnset	n/a
147.4846236	0	147484.6236	noteOnset	n/a
147.4846236	0	147484.6236	noteOnset	n/a
147.6512902	0	147651.2902	noteOnset	n/a
147.6512902	0	147651.2902	noteOnset	n/a
147.8180023	0	147818.0023	noteOnset	n/a
147.8180023	0	147818.0023	noteOnset	n/a
147.9846236	0	147984.6236	noteOnset	n/a
147.9846236	0	147984.6236	noteOnset	n/a
148.3180023	0	148318.0023	noteOnset	n/a
148.3180023	0	148318.0023	noteOnset	n/a
148.4847143	0	148484.7143	noteOnset	n/a
148.4847143	0	148484.7143	noteOnset	n/a
149.318093	0	149318.093	noteOnset	n/a
149.318093	0	149318.093	noteOnset	n/a
149.484805	0	149484.805	noteOnset	n/a
149.484805	0	149484.805	noteOnset	n/a
149.818093	0	149818.093	noteOnset	n/a
149.818093	0	149818.093	noteOnset	n/a
149.984805	0	149984.805	noteOnset	n/a
149.984805	0	149984.805	noteOnset	n/a
150.1514263	0	150151.4263	noteOnset	n/a
150.1514263	0	150151.4263	noteOnset	n/a
150.318093	0	150318.093	noteOnset	n/a
150.318093	0	150318.093	noteOnset	n/a
150.484805	0	150484.805	noteOnset	n/a
150.484805	0	150484.805	noteOnset	n/a
150.818229	0	150818.229	noteOnset	n/a
150.818229	0	150818.229	noteOnset	n/a
150.984805	0	150984.805	noteOnset	n/a
150.984805	0	150984.805	noteOnset	n/a
151.318229	0	151318.229	noteOnset	n/a
151.318229	0	151318.229	noteOnset	n/a
151.484805	0	151484.805	noteOnset	n/a
151.484805	0	151484.805	noteOnset	n/a
151.651517	0	151651.517	noteOnset	n/a
151.651517	0	151651.517	noteOnset	n/a
151.818229	0	151818.229	noteOnset	n/a
151.818229	0	151818.229	noteOnset	n/a
151.9848957	0	151984.8957	noteOnset	n/a
