onset	duration	sample	value	stim_file
211.096	0.001	211096	1	my country 'tis of thee.wav
211.1777302	0	211177.7302	noteOnset	n/a
211.1777302	0	211177.7302	noteOnset	n/a
211.5110181	0	211511.0181	noteOnset	n/a
211.5110181	0	211511.0181	noteOnset	n/a
211.8443968	0	211844.3968	noteOnset	n/a
211.8443968	0	211844.3968	noteOnset	n/a
212.1777302	0	212177.7302	noteOnset	n/a
212.1777302	0	212177.7302	noteOnset	n/a
212.6777302	0	212677.7302	noteOnset	n/a
212.6777302	0	212677.7302	noteOnset	n/a
212.8443061	0	212844.3061	noteOnset	n/a
212.8443061	0	212844.3061	noteOnset	n/a
213.1777302	0	213177.7302	noteOnset	n/a
213.1777302	0	213177.7302	noteOnset	n/a
213.5110181	0	213511.0181	noteOnset	n/a
213.5110181	0	213511.0181	noteOnset	n/a
213.8443968	0	213844.3968	noteOnset	n/a
213.8443968	0	213844.3968	noteOnset	n/a
214.1777302	0	214177.7302	noteOnset	n/a
214.1777302	0	214177.7302	noteOnset	n/a
214.6777302	0	214677.7302	noteOnset	n/a
214.6777302	0	214677.7302	noteOnset	n/a
214.8443968	0	214844.3968	noteOnset	n/a
214.8443968	0	214844.3968	noteOnset	n/a
215.1777302	0	215177.7302	noteOnset	n/a
215.1777302	0	215177.7302	noteOnset	n/a
215.5111088	0	215511.1088	noteOnset	n/a
215.5111088	0	215511.1088	noteOnset	n/a
215.8443968	0	215844.3968	noteOnset	n/a
215.8443968	0	215844.3968	noteOnset	n/a
216.1778209	0	216177.8209	noteOnset	n/a
216.1778209	0	216177.8209	noteOnset	n/a
217.1778209	0	217177.8209	noteOnset	n/a
217.1778209	0	217177.8209	noteOnset	n/a
217.5111995	0	217511.1995	noteOnset	n/a
217.5111995	0	217511.1995	noteOnset	n/a
217.8444875	0	217844.4875	noteOnset	n/a
217.8444875	0	217844.4875	noteOnset	n/a
218.1779116	0	218177.9116	noteOnset	n/a
218.1779116	0	218177.9116	noteOnset	n/a
218.6779116	0	218677.9116	noteOnset	n/a
218.6779116	0	218677.9116	noteOnset	n/a
218.8446236	0	218844.6236	noteOnset	n/a
218.8446236	0	218844.6236	noteOnset	n/a
219.1779116	0	219177.9116	noteOnset	n/a
219.1779116	0	219177.9116	noteOnset	n/a
219.5112902	0	219511.2902	noteOnset	n/a
219.5112902	0	219511.2902	noteOnset	n/a
219.8447143	0	219844.7143	noteOnset	n/a
219.8447143	0	219844.7143	noteOnset	n/a
220.1780023	0	220178.0023	noteOnset	n/a
220.1780023	0	220178.0023	noteOnset	n/a
220.6780023	0	220678.0023	noteOnset	n/a
220.6780023	0	220678.0023	noteOnset	n/a
220.8447143	0	220844.7143	noteOnset	n/a
220.8447143	0	220844.7143	noteOnset	n/a
221.085	0.001	221085	2	n/a
221.606	0.001	221606	3	n/a
229.09	0.001	229090	4	n/a
229.199	0.001	229199	5	n/a
235.195	0.001	235195	6	n/a
236.319	0.001	236319	7	n/a
269.562	0.001	269562	1	amazing grace.wav
269.6427188	0	269642.7188	noteOnset	n/a
269.6427188	0	269642.7188	noteOnset	n/a
270.0429002	0	270042.9002	noteOnset	n/a
270.0429002	0	270042.9002	noteOnset	n/a
270.8430816	0	270843.0816	noteOnset	n/a
270.8430816	0	270843.0816	noteOnset	n/a
271.0432177	0	271043.2177	noteOnset	n/a
271.0432177	0	271043.2177	noteOnset	n/a
271.2433084	0	271243.3084	noteOnset	n/a
271.2433084	0	271243.3084	noteOnset	n/a
272.0433991	0	272043.3991	noteOnset	n/a
272.0433991	0	272043.3991	noteOnset	n/a
272.4434898	0	272443.4898	noteOnset	n/a
272.4434898	0	272443.4898	noteOnset	n/a
272.672	0.001	272672	2	n/a
273.275	0.001	273275	3	n/a
284.485	0.001	284485	4	n/a
284.56	0.001	284560	5	n/a
287.539	0.001	287539	6	n/a
288.699	0.001	288699	8	n/a
295.247	0.001	295247	1	my bonnie lies over the ocean.wav
295.3277075	0	295327.7075	noteOnset	n/a
295.3277075	0	295327.7075	noteOnset	n/a
295.6132857	0	295613.2857	noteOnset	n/a
295.6132857	0	295613.2857	noteOnset	n/a
296.0419025	0	296041.9025	noteOnset	n/a
296.0419025	0	296041.9025	noteOnset	n/a
296.184805	0	296184.805	noteOnset	n/a
296.184805	0	296184.805	noteOnset	n/a
296.4705646	0	296470.5646	noteOnset	n/a
296.4705646	0	296470.5646	noteOnset	n/a
296.7562789	0	296756.2789	noteOnset	n/a
296.7562789	0	296756.2789	noteOnset	n/a
297.0420839	0	297042.0839	noteOnset	n/a
297.0420839	0	297042.0839	noteOnset	n/a
297.3277982	0	297327.7982	noteOnset	n/a
297.3277982	0	297327.7982	noteOnset	n/a
297.6136032	0	297613.6032	noteOnset	n/a
297.6136032	0	297613.6032	noteOnset	n/a
297.78	0.001	297780	2	n/a
298.34	0.001	298340	3	n/a
305.968	0.001	305968	4	n/a
306.094	0.001	306094	5	n/a
308.475	0.001	308475	6	n/a
309.626	0.001	309626	8	n/a
315.492	0.001	315492	1	on top of old smokey.wav
315.5737392	0	315573.7392	noteOnset	n/a
315.5737392	0	315573.7392	noteOnset	n/a
315.8737392	0	315873.7392	noteOnset	n/a
315.8737392	0	315873.7392	noteOnset	n/a
316.1736032	0	316173.6032	noteOnset	n/a
316.1736032	0	316173.6032	noteOnset	n/a
316.4736032	0	316473.6032	noteOnset	n/a
316.4736032	0	316473.6032	noteOnset	n/a
316.7736032	0	316773.6032	noteOnset	n/a
316.7736032	0	316773.6032	noteOnset	n/a
317.6736032	0	317673.6032	noteOnset	n/a
317.6736032	0	317673.6032	noteOnset	n/a
318.846	0.001	318846	2	n/a
319.396	0.001	319396	3	n/a
322.416	0.001	322416	4	n/a
322.51	0.001	322510	5	n/a
326.992	0.001	326992	6	n/a
328.213	0.001	328213	8	n/a
333.79	0.001	333790	1	mary had a little lamb.wav
333.8708367	0	333870.8367	noteOnset	n/a
333.8708367	0	333870.8367	noteOnset	n/a
334.2995442	0	334299.5442	noteOnset	n/a
334.2995442	0	334299.5442	noteOnset	n/a
334.4424014	0	334442.4014	noteOnset	n/a
334.4424014	0	334442.4014	noteOnset	n/a
334.7283424	0	334728.3424	noteOnset	n/a
334.7283424	0	334728.3424	noteOnset	n/a
335.0140113	0	335014.0113	noteOnset	n/a
335.0140113	0	335014.0113	noteOnset	n/a
335.2998163	0	335299.8163	noteOnset	n/a
335.2998163	0	335299.8163	noteOnset	n/a
335.34	0.001	335340	2	n/a
335.857	0.001	335857	3	n/a
345.543	0.001	345543	4	n/a
345.604	0.001	345604	5	n/a
347.946	0.001	347946	6	n/a
349.193	0.001	349193	8	n/a
355.142	0.001	355142	1	another one bites the dust.wav
355.2227188	0	355222.7188	noteOnset	n/a
355.2227188	0	355222.7188	noteOnset	n/a
355.7443968	0	355744.3968	noteOnset	n/a
355.7443968	0	355744.3968	noteOnset	n/a
356.2663016	0	356266.3016	noteOnset	n/a
356.2663016	0	356266.3016	noteOnset	n/a
357.1794082	0	357179.4082	noteOnset	n/a
357.1794082	0	357179.4082	noteOnset	n/a
357.3098844	0	357309.8844	noteOnset	n/a
357.3098844	0	357309.8844	noteOnset	n/a
357.5707914	0	357570.7914	noteOnset	n/a
357.5707914	0	357570.7914	noteOnset	n/a
357.8316984	0	357831.6984	noteOnset	n/a
357.8316984	0	357831.6984	noteOnset	n/a
358.0926054	0	358092.6054	noteOnset	n/a
358.0926054	0	358092.6054	noteOnset	n/a
358.2229909	0	358222.9909	noteOnset	n/a
358.2229909	0	358222.9909	noteOnset	n/a
359.177	0.001	359177	2	n/a
359.723	0.001	359723	3	n/a
366.097	0.001	366097	4	n/a
366.173	0.001	366173	5	n/a
367.992	0.001	367992	6	n/a
369.068	0.001	369068	8	n/a
375.022	0.001	375022	1	billie jean.wav
375.1028095	0	375102.8095	noteOnset	n/a
375.1028095	0	375102.8095	noteOnset	n/a
375.3528776	0	375352.8776	noteOnset	n/a
375.3528776	0	375352.8776	noteOnset	n/a
375.6029909	0	375602.9909	noteOnset	n/a
375.6029909	0	375602.9909	noteOnset	n/a
375.8531043	0	375853.1043	noteOnset	n/a
375.8531043	0	375853.1043	noteOnset	n/a
376.3532857	0	376353.2857	noteOnset	n/a
376.3532857	0	376353.2857	noteOnset	n/a
376.6033991	0	376603.3991	noteOnset	n/a
376.6033991	0	376603.3991	noteOnset	n/a
376.8535125	0	376853.5125	noteOnset	n/a
376.8535125	0	376853.5125	noteOnset	n/a
377.3536032	0	377353.6032	noteOnset	n/a
377.3536032	0	377353.6032	noteOnset	n/a
377.8536939	0	377853.6939	noteOnset	n/a
377.8536939	0	377853.6939	noteOnset	n/a
378.8538753	0	378853.8753	noteOnset	n/a
378.8538753	0	378853.8753	noteOnset	n/a
379.103898	0	379103.898	noteOnset	n/a
379.103898	0	379103.898	noteOnset	n/a
379.3538753	0	379353.8753	noteOnset	n/a
379.3538753	0	379353.8753	noteOnset	n/a
379.6039887	0	379603.9887	noteOnset	n/a
379.6039887	0	379603.9887	noteOnset	n/a
379.852	0.001	379852	2	n/a
380.386	0.001	380386	3	n/a
381.558	0.001	381558	4	n/a
381.622	0.001	381622	5	n/a
386.449	0.001	386449	6	n/a
387.568	0.001	387568	8	n/a
393.068	0.001	393068	1	sesame street.wav
393.1487052	0	393148.7052	noteOnset	n/a
393.1487052	0	393148.7052	noteOnset	n/a
393.7012676	0	393701.2676	noteOnset	n/a
393.7012676	0	393701.2676	noteOnset	n/a
394.0961882	0	394096.1882	noteOnset	n/a
394.0961882	0	394096.1882	noteOnset	n/a
394.8068005	0	394806.8005	noteOnset	n/a
394.8068005	0	394806.8005	noteOnset	n/a
395.0436712	0	395043.6712	noteOnset	n/a
395.0436712	0	395043.6712	noteOnset	n/a
395.1226735	0	395122.6735	noteOnset	n/a
395.1226735	0	395122.6735	noteOnset	n/a
395.8332857	0	395833.2857	noteOnset	n/a
395.8332857	0	395833.2857	noteOnset	n/a
395.871	0.001	395871	2	n/a
396.403	0.001	396403	3	n/a
397.573	0.001	397573	4	n/a
397.638	0.001	397638	5	n/a
404.23	0.001	404230	6	n/a
405.35	0.001	405350	8	n/a
411.295	0.001	411295	1	eight days a week.wav
411.3758254	0	411375.8254	noteOnset	n/a
411.3758254	0	411375.8254	noteOnset	n/a
411.7760068	0	411776.0068	noteOnset	n/a
411.7760068	0	411776.0068	noteOnset	n/a
412.1762336	0	412176.2336	noteOnset	n/a
412.1762336	0	412176.2336	noteOnset	n/a
412.5763243	0	412576.3243	noteOnset	n/a
412.5763243	0	412576.3243	noteOnset	n/a
412.906	0.001	412906	2	n/a
413.403	0.001	413403	3	n/a
424.053	0.001	424053	4	n/a
424.146	0.001	424146	5	n/a
429.416	0.001	429416	6	n/a
430.601	0.001	430601	7	n/a
438.08	0.001	438080	1	copacabana.wav
438.1608141	0	438160.8141	noteOnset	n/a
438.1608141	0	438160.8141	noteOnset	n/a
438.4194989	0	438419.4989	noteOnset	n/a
438.4194989	0	438419.4989	noteOnset	n/a
438.6781837	0	438678.1837	noteOnset	n/a
438.6781837	0	438678.1837	noteOnset	n/a
438.9369138	0	438936.9138	noteOnset	n/a
438.9369138	0	438936.9138	noteOnset	n/a
439.2819025	0	439281.9025	noteOnset	n/a
439.2819025	0	439281.9025	noteOnset	n/a
440.2302925	0	440230.2925	noteOnset	n/a
440.2302925	0	440230.2925	noteOnset	n/a
440.4890227	0	440489.0227	noteOnset	n/a
440.4890227	0	440489.0227	noteOnset	n/a
440.7477075	0	440747.7075	noteOnset	n/a
440.7477075	0	440747.7075	noteOnset	n/a
441.0063923	0	441006.3923	noteOnset	n/a
441.0063923	0	441006.3923	noteOnset	n/a
441.204	0.001	441204	2	n/a
441.78	0.001	441780	3	n/a
443.897	0.001	443897	4	n/a
443.945	0.001	443945	5	n/a
449.271	0.001	449271	6	n/a
450.374	0.001	450374	8	n/a
457.547	0.001	457547	1	pop goes the weasel.wav
457.6277075	0	457627.7075	noteOnset	n/a
457.6277075	0	457627.7075	noteOnset	n/a
457.9132857	0	457913.2857	noteOnset	n/a
457.9132857	0	457913.2857	noteOnset	n/a
458.0561882	0	458056.1882	noteOnset	n/a
458.0561882	0	458056.1882	noteOnset	n/a
458.3419932	0	458341.9932	noteOnset	n/a
458.3419932	0	458341.9932	noteOnset	n/a
458.4848957	0	458484.8957	noteOnset	n/a
458.4848957	0	458484.8957	noteOnset	n/a
458.6277982	0	458627.7982	noteOnset	n/a
458.6277982	0	458627.7982	noteOnset	n/a
458.7707007	0	458770.7007	noteOnset	n/a
458.7707007	0	458770.7007	noteOnset	n/a
458.9136032	0	458913.6032	noteOnset	n/a
458.9136032	0	458913.6032	noteOnset	n/a
458.984	0.001	458984	2	n/a
459.54	0.001	459540	3	n/a
466.447	0.001	466447	4	n/a
466.555	0.001	466555	5	n/a
469.878	0.001	469878	6	n/a
471.082	0.001	471082	8	n/a
476.719	0.001	476719	1	it's a small world.wav
476.7997256	0	476799.7256	noteOnset	n/a
476.7997256	0	476799.7256	noteOnset	n/a
477.6568231	0	477656.8231	noteOnset	n/a
477.6568231	0	477656.8231	noteOnset	n/a
477.9425828	0	477942.5828	noteOnset	n/a
477.9425828	0	477942.5828	noteOnset	n/a
478.514102	0	478514.102	noteOnset	n/a
478.514102	0	478514.102	noteOnset	n/a
479.0856213	0	479085.6213	noteOnset	n/a
479.0856213	0	479085.6213	noteOnset	n/a
479.746	0.001	479746	2	n/a
480.367	0.001	480367	3	n/a
482.05	0.001	482050	4	n/a
482.111	0.001	482111	5	n/a
487.78	0.001	487780	6	n/a
488.959	0.001	488959	7	n/a
494.686	0.001	494686	1	my girl.wav
494.7667098	0	494766.7098	noteOnset	n/a
494.7667098	0	494766.7098	noteOnset	n/a
495.6324694	0	495632.4694	noteOnset	n/a
495.6324694	0	495632.4694	noteOnset	n/a
495.9209955	0	495920.9955	noteOnset	n/a
495.9209955	0	495920.9955	noteOnset	n/a
496.2094762	0	496209.4762	noteOnset	n/a
496.2094762	0	496209.4762	noteOnset	n/a
496.498093	0	496498.093	noteOnset	n/a
496.498093	0	496498.093	noteOnset	n/a
496.7865737	0	496786.5737	noteOnset	n/a
496.7865737	0	496786.5737	noteOnset	n/a
497.0751905	0	497075.1905	noteOnset	n/a
497.0751905	0	497075.1905	noteOnset	n/a
497.866	0.001	497866	2	n/a
498.453	0.001	498453	3	n/a
499.857	0.001	499857	4	n/a
499.905	0.001	499905	5	n/a
504.026	0.001	504026	6	n/a
505.097	0.001	505097	8	n/a
511.378	0.001	511378	1	hello mudduh, hello fadduh.wav
511.4588186	0	511458.8186	noteOnset	n/a
511.4588186	0	511458.8186	noteOnset	n/a
511.6254853	0	511625.4853	noteOnset	n/a
511.6254853	0	511625.4853	noteOnset	n/a
511.7921973	0	511792.1973	noteOnset	n/a
511.7921973	0	511792.1973	noteOnset	n/a
511.9589093	0	511958.9093	noteOnset	n/a
511.9589093	0	511958.9093	noteOnset	n/a
512.792424	0	512792.424	noteOnset	n/a
512.792424	0	512792.424	noteOnset	n/a
512.9590907	0	512959.0907	noteOnset	n/a
512.9590907	0	512959.0907	noteOnset	n/a
513.125712	0	513125.712	noteOnset	n/a
513.125712	0	513125.712	noteOnset	n/a
513.292424	0	513292.424	noteOnset	n/a
513.292424	0	513292.424	noteOnset	n/a
514.1258934	0	514125.8934	noteOnset	n/a
514.1258934	0	514125.8934	noteOnset	n/a
514.2925147	0	514292.5147	noteOnset	n/a
514.2925147	0	514292.5147	noteOnset	n/a
514.4592268	0	514459.2268	noteOnset	n/a
514.4592268	0	514459.2268	noteOnset	n/a
514.6258934	0	514625.8934	noteOnset	n/a
514.6258934	0	514625.8934	noteOnset	n/a
515.4593175	0	515459.3175	noteOnset	n/a
515.4593175	0	515459.3175	noteOnset	n/a
515.6259841	0	515625.9841	noteOnset	n/a
515.6259841	0	515625.9841	noteOnset	n/a
515.7926054	0	515792.6054	noteOnset	n/a
515.7926054	0	515792.6054	noteOnset	n/a
515.9593175	0	515959.3175	noteOnset	n/a
