model,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std
dummy,0.5,0.0,0.42849917257906833,0.048377668496924174,0.5,0.0,0.22646325862056216,0.2800429406500072
csp_lda_6c,0.5592881222923766,0.0845018812975907,0.5199885883875247,0.05215262152285862,0.5367426139990445,0.06583170516302445,0.4940874008478633,0.0820015160904989
