trialNum,songNumber,songFileName,songDur,fixTime,responded,rt,postMusicTime,reply,promptRT,choicesMC,respMC,rtMC,outcomeMC,preFeedbackTime,participant_id,note_count,note_rate,rt_numeric,age,sex,handedness
1,34,do wah ditty.wav,7.758004535147392,0.4573666234043125,0,,0.4915166590409337,,11.72358050011098,7   34   31   12,2,5.467002999968827,1,1.141404923905617,sub-01,44.0,0.5815720951134725,,24,M,L
2,11,alouette.wav,5.946984126984127,0.4504003307359423,1,2.872448800131679,0.462233815651757,Frere Jaque,8.877756000030786,97   61   11   29,3,2.955956399906427,1,1.043290353635405,sub-01,44.0,1.7638098292311415,2.872448800131679,24,M,L
3,45,great escape.wav,15.75002267573696,0.4587730658685031,1,10.3068710998632,0.4886518604158389,EEG Lab,7.08060219977051,101   16    6   45,2,3.429529499728233,0,1.197642450315487,sub-01,56.0,2.212127197313841,10.3068710998632,24,M,L
4,24,buffalo gals.wav,9.331020408163266,0.4727897631539527,1,3.721228400245309,0.4813051156689929,Childhood lullaby,7.650939300190657,24   61   55   58,4,3.680033000186086,0,1.027962887099712,sub-01,60.0,2.0063534525999014,3.721228400245309,24,M,L
5,85,over the river and through the woods.wav,13.91301587301587,0.4522191981112489,0,,0.4021415806141993,,30.11990280030295,35   66   85   64,1,3.465673000086099,0,1.001730178657177,sub-01,16.0,0.7774538386783291,,24,M,L
6,54,if you're happy and you know it.wav,9.09002267573696,0.4251961149835011,1,2.744450799655169,0.4567222796836254,,3.451011400204152,69   81    8   54,3,7.228540299925953,0,1.032965627615686,sub-01,30.0,1.419043564637433,2.744450799655169,24,M,L
7,99,she'll be coming 'round the mountain.wav,8.86,0.483237072647096,1,3.987203999888152,0.4432200649708224,Childhood,6.733620599843562,29   55   99   36,3,2.880672100000083,1,1.063824026527486,sub-01,44.0,2.270381836945305,3.987203999888152,24,M,L
8,50,hickory dickory dock.wav,7.077006802721089,0.4378224041609163,0,,0.4099947611424903,,1.988633799832314,5   80   50   77,3,4.944185100030154,1,1.114755660846534,sub-01,28.0,1.124452833219549,,24,M,L
9,44,good night ladies.wav,6.378004535147392,0.4702214545650047,0,,0.4396565644765426,,1.220271999947727,41   44   42  102,2,3.727488699834794,1,1.146130388715832,sub-01,26.0,1.1450213590522749,,24,M,L
10,89,pop goes the weasel.wav,7.075011337868481,0.4010269464186392,1,1.939558399841189,0.4827305854882273,Merry-go-roud,8.376291800290346,18   89   56   16,2,2.288051099982113,1,1.082384472280376,sub-01,38.0,1.6816391556401307,1.939558399841189,24,M,L
11,79,oh where has my little dog gone.wav,8.02,0.40287446307281,1,2.408594700042158,0.4096923865301591,,4.131671499926597,8   45   79   11,3,6.934198299888521,1,1.039734846704871,sub-01,44.0,1.6155682026803737,2.408594700042158,24,M,L
12,47,happy trails.wav,9.331020408163266,0.4793426766189581,0,,0.4701070236300323,,1.559637899976224,67    9  104   47,3,5.528625400271267,0,1.049229263074563,sub-01,26.0,1.179512770494034,,24,M,L
13,88,polly wolly doodle.wav,9.334013605442175,0.4781886839431457,1,4.000041400082409,0.4921949587181207,chicken dance,5.884840399958193,118   88   55  100,1,4.148360199760646,0,1.139694481633805,sub-01,50.0,2.8099359334607197,4.000041400082409,24,M,L
14,6,YMCA.wav,14.33501133786848,0.437948235707284,1,14.01178119983524,0.4355025204014079,Betty and the jets,8.86047190008685,6   82   47   95,1,5.735100999940187,1,1.119904630429363,sub-01,42.0,2.1795537104307234,14.01178119983524,24,M,L
15,77,ob la di ob la da.wav,14.81401360544218,0.4714540760169569,0,,0.4235248555717131,,3.120553200133145,22  109   77   19,2,3.701787399593741,0,1.18774696622719,sub-01,54.0,2.1887159533073905,,24,M,L
16,72,muppet show.wav,8.53201814058957,0.4729229723496899,0,,0.4327598974151213,,3.778532900381833,109   72  100  112,2,1.74571770010516,1,1.159412076299028,sub-01,56.0,2.37600237600238,,24,M,L
17,94,rock-a-bye baby.wav,13.92498866213152,0.4890851571857957,1,3.774340699892491,0.4955615460744427,Hush little baby,7.524748800322413,5   77   94  120,3,2.995047099888325,1,1.111327414394535,sub-01,84.0,2.4705882352941178,3.774340699892491,24,M,L
18,84,over the rainbow.wav,17.06698412698413,0.4295631434925681,1,4.86830519977957,0.448194589975013,childhood movie ,9.238162599969655,67  110   43   84,4,2.499449099879712,1,1.130674471856681,sub-01,60.0,1.9814405072487657,4.86830519977957,24,M,L
19,107,swing low sweet chariot.wav,9.66,0.4497105964176795,0,,0.4191832187874762,,4.587241800036281,10  114  107   69,2,6.93182640010491,0,1.059286639035654,sub-01,56.0,2.301117685733069,,24,M,L
20,49,"hello mudduh, hello fadduh.wav",10.60199546485261,0.422513436656906,0,,0.4214607849196794,  ,2.944547599647194,51   63   18   49,3,9.760143400169907,0,1.040166382105623,sub-01,74.0,3.3176417843532913,,24,M,L
21,42,froggy went a-courtin'.wav,12.20498866213152,0.4745765144805786,1,3.304893899708986,0.4256662337281836,going around the mountain ,12.08359799999744,103   93   22   42,4,5.993958599865437,1,1.033263638491496,sub-01,30.0,1.8953752843062956,3.304893899708986,24,M,L
22,78,oh susanna.wav,12.05800453514739,0.439757685895811,1,4.449361700098962,0.4549910522375825,,5.164549099747092,5   29   72   78,2,6.172342099715024,0,1.129345495975828,sub-01,80.0,3.338898163606005,4.449361700098962,24,M,L
23,1,I feel fine.wav,10.69002267573696,0.4307738893654928,0,,0.4341502151576977,,2.437447500415146,121  115    1   14,3,4.223952200263739,1,1.128434487669277,sub-01,44.0,1.8627492485500206,,24,M,L
24,118,when the saints go marching in.wav,7.611020408163266,0.425835086590358,0,,0.4733402879228597,,2.01863760035485,73   96  118   63,3,2.97458459995687,1,1.130336573811254,sub-01,44.0,1.514473548342684,,24,M,L
25,71,mickey mouse march.wav,4.778004535147392,0.495653439026848,1,1.674189700279385,0.4679941567747128,Races,5.184060500003397,71   79  117   37,1,3.679771000053734,1,1.113018626346624,sub-01,38.0,1.403301451309129,1.674189700279385,24,M,L
26,8,a whole new world.wav,12.98798185941043,0.4597250945063658,1,4.734165300149471,0.4477507957391879,childhood,5.660073699895293,52  105   28    8,1,2.984827300067991,0,1.186892686876072,sub-01,112.0,4.725539006792958,4.734165300149471,24,M,L
27,70,michael row the boat ashore.wav,9.372018140589567,0.460134317276342,0,,0.4886977749751149,,3.278384200297296,9   70   31    1,1,3.027757700067014,0,1.179243816960558,sub-01,38.0,1.7006802721088483,,24,M,L
28,116,this old man.wav,9.393015873015871,0.4613458872469265,1,2.18503539962694,0.4920616203614446,Lullaby,4.32313170004636,103   20   77  116,3,2.864170400425792,0,1.075605738141475,sub-01,22.0,1.0538922155688624,2.18503539962694,24,M,L
29,18,be kind to your web-footed friend.wav,6.993015873015873,0.4364666077146994,0,,0.4648987178495588, ,2.909635600168258,4  101   18    5,1,2.663666399661452,0,1.098878630703107,sub-01,54.0,2.413623564117458,,24,M,L
30,63,little jack horner.wav,6.793015873015873,0.4323128589033191,0,,0.4135183447109276,,2.841554600279778,63   83   85   99,3,6.552728499751538,0,1.067883951299238,sub-01,48.0,1.552594126018893,,24,M,L
31,76,my girl.wav,10.44498866213152,0.4259221590486811,0,,0.4656533567611655,,2.575828199740499,24    1  112   76,1,1.778531100135297,0,1.137690061310188,sub-01,24.0,1.2137149792657025,,24,M,L
32,39,everlasting love.wav,8.305986394557824,0.4935772854959673,0,,0.4134038325984534,,2.126010000240058,120   39   30   10,2,2.400215100031346,1,1.120936782227374,sub-01,42.0,1.5044596482430044,,24,M,L
33,108,take me out to the ballgame.wav,6.194013605442177,0.4247005004691402,1,4.64964779978618,0.4839616414813442,Childhood,9.143129999749362,108   56    5   90,1,2.887653000187129,1,1.019671932986512,sub-01,60.0,2.8911482677203395,4.64964779978618,24,M,L
34,33,do as I'm doing.wav,11.67102040816327,0.4114586744815825,0,,0.4954824116585843,,2.27095689997077,56  114   33   57,2,2.951866899617016,0,1.034486085899519,sub-01,66.0,3.021978021978002,,24,M,L
35,112,the brady bunch.wav,9.331020408163266,0.4588523653598776,0,,0.4835901923689424,,2.264566199854016,50   30  112   61,3,4.289885899983346,1,1.149857551202275,sub-01,48.0,1.598508059144797,,24,M,L
36,111,the bare necessities.wav,8.511020408163265,0.4946161052868261,0,,0.415892097777562,,1.511408400256187,111   90   28  104,1,2.611301600001752,1,1.041508018058244,sub-01,50.0,1.8771587325424262,,24,M,L
37,27,can't help falling in love.wav,13.4990022675737,0.432855687442353,0,,0.4822771324706565,,1.861484299879521,31   27  120   55,3,4.089604200329632,0,1.049530375514146,sub-01,76.0,2.8493232857196413,,24,M,L
38,40,eye of the tiger.wav,8.305986394557824,0.4582542474935271,1,3.917686299886554,0.483364123774963,Hype up song,16.89257050026208,22   31   40   28,3,3.700335099827498,1,1.150792430278678,sub-01,44.0,1.7338534893801507,3.917686299886554,24,M,L
39,60,john jacob jingleheimerschmidt.wav,9.928979591836734,0.4455302994313681,0,,0.41640368442493,,1.195216200314462,60  105   70   72,3,4.544869100209326,0,1.196655654299319,sub-01,62.0,3.338179077155034,,24,M,L
40,86,peanuts.wav,10.50399092970522,0.4260647619359201,1,1.609359699767083,0.4303976801658495,Charlie brown,5.968021299690008,28    8  114   86,4,3.213456999976188,1,1.045972305913019,sub-01,34.0,1.2787242844785356,1.609359699767083,24,M,L
41,30,clementine.wav,8.716009070294785,0.4503029431618495,0,,0.4818001494841703,,2.046683100052178,121   34   30   91,1,2.148939999751747,0,1.024888391046225,sub-01,24.0,1.611495333378094,,24,M,L
42,119,wouldn't it be nice.wav,8.018004535147393,0.4389742854324081,0,,0.4733733527719425,  ,5.681353999767452,61   84  119   21,1,3.36999040003866,0,1.14025053384624,sub-01,50.0,3.3009836931405703,,24,M,L
43,82,old mcdonald.wav,9.046984126984126,0.433403137866599,1,3.124170199967921,0.4622014583279839,Old Mcdonald,6.255381300114095,114  120   82   78,3,2.398877099622041,1,1.076988022726092,sub-01,38.0,1.7439992656845207,3.124170199967921,24,M,L
44,67,love me do.wav,12.46798185941043,0.4677354825417461,1,3.973642400000244,0.4877854744756709,,3.032620099838823,49   67   32   66,2,5.868461000267416,1,1.067026800774326,sub-01,52.0,2.2418624703599974,3.973642400000244,24,M,L
45,83,on top of old smokey.wav,12.79700680272109,0.4136899155473741,1,6.420219900086522,0.4993836678599152,Over the rainbow,6.142289500217885,37   73   43   83,3,5.205221600364894,0,1.074585125425209,sub-01,48.0,2.8785607196401877,6.420219900086522,24,M,L
46,92,ring around the rosie.wav,7.034013605442177,0.4538594691797558,1,4.866575099993497,0.4745216208841883,,3.382191500160843,24   92   25  111,2,2.692328699864447,1,1.153783828586674,sub-01,32.0,1.3347793442896383,4.866575099993497,24,M,L
