trialNum,songNumber,songFileName,songDur,fixTime,responded,rt,postMusicTime,reply,promptRT,choicesMC,respMC,rtMC,outcomeMC,preFeedbackTime,participant_id,trial_index,note_count,trial_window_sec,note_rate,rt_numeric,promptRT_numeric,rtMC_numeric,datetime,age,sex,handedness,cch,session_date,session_month,session_weekday,global_field_power,delta_power,theta_power,alpha_power,beta_power,reply_present,valid_familiarity_rt,responded_label,trial_progress,age_zscore,song_name_clean,log_delta_power,log_theta_power,log_alpha_power,log_beta_power,participant_trial_count,participant_response_rate,participant_mc_accuracy,participant_median_rt,mean_global_field_power,mean_alpha_power,mean_beta_power,log_mean_alpha_power,log_mean_beta_power,song_sample_n,song_response_rate,song_mean_rt,song_median_rt,song_mc_accuracy,mean_note_rate,song_mean_alpha_power,song_mean_beta_power
11,79,oh where has my little dog gone.wav,8.02,0.40287446307281,1,2.408594700042158,0.4096923865301591,,4.131671499926597,8   45   79   11,3,6.934198299888521,1,1.039734846704871,sub-01,10,24,21.0,1.1428571428571428,2.408594700042158,4.131671499926597,6.934198299888521,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,16.1638135852219,1.230050292388467e-12,1.7168945296836103e-12,1.0273937368824473e-12,9.156658248624472e-14,False,True,Familiar,0.14864864864864866,0.15957810787389587,oh where has my little dog gone,-11.91007713143843,-11.765256383105426,-11.988263086115753,-13.03826299456131,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,18,0.3888888888888889,4.277322328563189,3.773924399982207,0.6111111111111112,2.4259127622579872,8.015356589402765e-13,2.108424557436751e-13
12,47,happy trails.wav,9.331020408163266,0.4793426766189581,0,,0.4701070236300323,,1.559637899976224,67    9  104   47,3,5.528625400271267,0,1.049229263074563,sub-01,11,44,24.500999999999976,1.7958450675482651,,1.559637899976224,5.528625400271267,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,15.333221411747768,2.8401725136881247e-13,3.194223848000724e-13,5.740625465055231e-13,8.039587944128183e-14,False,False,Not familiar,0.16216216216216217,0.15957810787389587,happy trails,-12.54665527985882,-12.49563465220974,-12.241040786831359,-13.09476620973131,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,18,0.05555555555555555,6.312277799996082,6.312277799996082,0.4444444444444444,1.8440203323463595,6.393150661774106e-13,1.607377134578776e-13
13,88,polly wolly doodle.wav,9.334013605442175,0.4781886839431457,1,4.000041400082409,0.4921949587181207,chicken dance,5.884840399958193,118   88   55  100,1,4.148360199760646,0,1.139694481633805,sub-01,12,42,21.889999999999986,1.9186843307446335,4.000041400082409,5.884840399958193,4.148360199760646,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,18.167171262910152,5.129596772450167e-12,1.3148609878662371e-12,1.991490052854816e-12,1.1172375079750823e-13,True,True,Familiar,0.17567567567567569,0.15957810787389587,polly wolly doodle,-11.28991677258459,-11.881120160021286,-11.700821858474363,-12.951854492561825,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,20,0.85,4.853798135289895,4.758549099991797,0.6,2.174504867500736,5.329711111132222e-13,1.6856003708432603e-13
14,6,YMCA.wav,14.33501133786848,0.437948235707284,1,14.01178119983524,0.4355025204014079,Betty and the jets,8.86047190008685,6   82   47   95,1,5.735100999940187,1,1.119904630429363,sub-01,13,76,36.49600000000004,2.0824199912319137,14.01178119983524,8.86047190008685,5.735100999940187,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,13.831205426408976,5.075511290050321e-13,4.547572570299646e-13,1.869710879816117e-12,1.0377593400543486e-13,True,True,Familiar,0.1891891891891892,0.15957810787389587,YMCA,-12.29452020183587,-12.342220361724795,-11.728225544804742,-12.983903349189328,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,21,0.38095238095238093,9.60413844996583,10.264613849984016,0.5238095238095238,2.393559844517507,6.140512946067328e-13,1.613744120277075e-13
15,77,ob la di ob la da.wav,14.81401360544218,0.4714540760169569,0,,0.4235248555717131,,3.120553200133145,22  109   77   19,2,3.701787399593741,0,1.18774696622719,sub-01,14,68,32.113999999999976,2.117456561001434,,3.120553200133145,3.701787399593741,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,13.263899694014002,4.1590898897545814e-13,4.609837214675422e-13,1.2472207004738578e-12,9.60343295682931e-14,False,False,Not familiar,0.20270270270270271,0.15957810787389587,ob la di ob la da,-12.381001693195412,-12.336314410405672,-11.904056689651348,-13.017573491158775,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,15,0.4,6.999491166665393,7.166002599995409,0.5333333333333333,2.002833718971895,4.666140785076441e-13,1.6513176416816824e-13
16,72,muppet show.wav,8.53201814058957,0.4729229723496899,0,,0.4327598974151213,,3.778532900381833,109   72  100  112,2,1.74571770010516,1,1.159412076299028,sub-01,15,54,22.45999999999998,2.4042742653606433,,3.778532900381833,1.74571770010516,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,22.999551824327664,1.6966471922288908e-11,2.0551049687229767e-12,7.639720865945497e-13,1.4618209087499942e-13,False,False,Not familiar,0.21621621621621623,0.15957810787389587,muppet show,-10.770408457268603,-11.687165990735402,-12.11692250904135,-12.835105830596932,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,20,0.2,2.882743725000182,2.9064976000081515,0.5,1.9220868452394133,6.153686174849295e-13,2.0952636945077633e-13
17,94,rock-a-bye baby.wav,13.92498866213152,0.4890851571857957,1,3.774340699892491,0.4955615460744427,Hush little baby,7.524748800322413,5   77   94  120,3,2.995047099888325,1,1.111327414394535,sub-01,16,20,22.376000000000033,0.8938148015731128,3.774340699892491,7.524748800322413,2.995047099888325,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,14.176184553482843,1.5690144273869952e-12,1.6126051125608474e-12,1.5880234581315022e-12,1.5287353905311372e-13,True,True,Familiar,0.22972972972972974,0.15957810787389587,rock-a-bye baby,-11.804373062974088,-11.792471967658678,-11.799143086504753,-12.815667680302038,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,18,0.7222222222222222,3.3867903461499598,3.393968499993207,0.7777777777777778,1.3658615483956704,7.558017196723205e-13,1.767302924475849e-13
18,84,over the rainbow.wav,17.06698412698413,0.4295631434925681,1,4.86830519977957,0.448194589975013,childhood movie ,9.238162599969655,67  110   43   84,4,2.499449099879712,1,1.130674471856681,sub-01,17,16,26.88900000000001,0.5950388634757705,4.86830519977957,9.238162599969655,2.499449099879712,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,21.1589220553806,6.00965664960647e-12,1.7147651319527301e-12,2.0953978799953996e-12,1.5241482542516148e-13,True,True,Familiar,0.24324324324324326,0.15957810787389587,over the rainbow,-11.221150339884264,-11.765795356018929,-11.678733499819486,-12.8169727870175,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,15,0.6666666666666666,5.748862429978908,4.4185697998909745,0.8,0.8804538290844253,8.143249114779042e-13,1.9865110532747756e-13
19,107,swing low sweet chariot.wav,9.66,0.4497105964176795,0,,0.4191832187874762,,4.587241800036281,10  114  107   69,2,6.93182640010491,0,1.059286639035654,sub-01,18,62,29.086999999999932,2.131536425207142,,4.587241800036281,6.93182640010491,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,13.883965829749947,3.783631534207788e-12,9.558241985738084e-13,1.624986502447776e-12,9.950026584552545e-14,False,False,Not familiar,0.25675675675675674,0.15957810787389587,swing low sweet chariot,-11.422091163615887,-12.019621978655106,-11.789150242030827,-13.002175758901606,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,16,0.375,6.451590766661259,6.235167899991211,0.4375,2.4271824344968644,1.4897185528834912e-12,2.187561355798308e-13
20,49,"hello mudduh, hello fadduh.wav",10.60199546485261,0.422513436656906,0,,0.4214607849196794,  ,2.944547599647194,51   63   18   49,3,9.760143400169907,0,1.040166382105623,sub-01,19,72,32.460000000000036,2.218114602587798,,2.944547599647194,9.760143400169907,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,15.073678305241451,3.4188761815689843e-13,9.857095983577618e-13,7.424298760127337e-13,7.608445406255665e-14,False,False,Not familiar,0.2702702702702703,0.15957810787389587,"hello mudduh, hello fadduh",-12.466116627379794,-12.006251014477783,-12.129344560056428,-13.118704071278724,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,18,0.16666666666666666,3.2601972666346533,2.343881999986479,0.5555555555555556,2.4794853278280176,5.089460791750127e-13,1.7300323242200342e-13
21,42,froggy went a-courtin'.wav,12.20498866213152,0.4745765144805786,1,3.304893899708986,0.4256662337281836,going around the mountain ,12.08359799999744,103   93   22   42,4,5.993958599865437,1,1.033263638491496,sub-01,20,24,30.36099999999999,0.7904877968446364,3.304893899708986,12.08359799999744,5.993958599865437,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,16.38510759540725,1.1189305068548039e-11,1.911601247267871e-12,9.842561175849957e-13,1.0344124179389106e-13,True,True,Familiar,0.28378378378378377,0.15957810787389587,froggy went a-courtin',-10.951196885255989,-11.718602694785803,-12.006891877197983,-12.985306274467595,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,14,0.5714285714285714,5.160417062474153,5.231465400000161,0.42857142857142855,2.08276830155382,5.577718442890788e-13,1.669124757851768e-13
22,78,oh susanna.wav,12.05800453514739,0.439757685895811,1,4.449361700098962,0.4549910522375825,,5.164549099747092,5   29   72   78,2,6.172342099715024,0,1.129345495975828,sub-01,21,48,24.090000000000032,1.9925280199252775,4.449361700098962,5.164549099747092,6.172342099715024,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,16.70752212865929,7.05098760509411e-12,1.752690290866343e-12,1.1911724909514314e-12,1.1988742837900658e-13,False,True,Familiar,0.2972972972972973,0.15957810787389587,oh susanna,-11.151750048767003,-11.756294819132043,-11.924025344777327,-12.921226355448923,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,23,0.6956521739130435,4.389439662510085,4.657905650048633,0.2608695652173913,2.605718290099532,9.757654569851883e-13,2.0102511383880357e-13
23,1,I feel fine.wav,10.69002267573696,0.4307738893654928,0,,0.4341502151576977,,2.437447500415146,121  115    1   14,3,4.223952200263739,1,1.128434487669277,sub-01,22,80,25.634000000000015,3.1208551143013166,,2.437447500415146,4.223952200263739,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,15.125534321679382,8.013873593576962e-13,5.770292316980269e-13,8.856391547155371e-13,1.1035575649365703e-13,False,False,Not familiar,0.3108108108108108,0.15957810787389587,I feel fine,-12.09615751217097,-12.238802185382253,-12.052743191247448,-12.957205007783477,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,14,0.21428571428571427,2.357457166663759,1.876872100052424,0.5,2.5965498287047235,7.978622821598193e-13,1.9432505905794352e-13
24,118,when the saints go marching in.wav,7.611020408163266,0.425835086590358,0,,0.4733402879228597,,2.01863760035485,73   96  118   63,3,2.97458459995687,1,1.130336573811254,sub-01,23,32,22.807000000000016,1.4030780023676932,,2.01863760035485,2.97458459995687,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,20.474012845291274,3.03877102650572e-12,7.103257551886415e-13,6.60177894749088e-13,9.381343152717691e-14,False,False,Not familiar,0.32432432432432434,0.15957810787389587,when the saints go marching in,-11.517302023076189,-12.148542438272441,-12.180339021582828,-13.02773497803313,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,16,0.25,3.4275980250095017,2.9676875000004657,0.6875,1.3281407213514456,6.096127733736501e-13,1.9279861290801083e-13
25,71,mickey mouse march.wav,4.778004535147392,0.495653439026848,1,1.674189700279385,0.4679941567747128,Races,5.184060500003397,71   79  117   37,1,3.679771000053734,1,1.113018626346624,sub-01,24,22,18.421999999999912,1.194224297036158,1.674189700279385,5.184060500003397,3.679771000053734,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,19.602686900440556,2.2373578936256643e-12,1.0470204264632497e-12,4.686729184238159e-13,9.722797362658772e-14,True,True,Familiar,0.33783783783783783,0.15957810787389587,mickey mouse march,-11.650264539464176,-11.980044845528665,-12.329130140823503,-13.012208765487065,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,13,0.3076923076923077,2.8723784500575675,2.7271875999749686,0.46153846153846156,2.368665752979218,4.930153475987585e-13,1.6384607146737299e-13
26,8,a whole new world.wav,12.98798185941043,0.4597250945063658,1,4.734165300149471,0.4477507957391879,childhood,5.660073699895293,52  105   28    8,1,2.984827300067991,0,1.186892686876072,sub-01,25,22,21.280000000000086,1.033834586466161,4.734165300149471,5.660073699895293,2.984827300067991,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,22.025446689674062,2.3766958559155565e-12,2.0587645663229653e-12,6.72863364806008e-13,1.0111789363815084e-13,True,True,Familiar,0.35135135135135137,0.15957810787389587,a whole new world,-11.624026391073178,-11.686393315058956,-12.172073116957769,-12.995171985648476,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,15,0.7333333333333333,3.821505572744751,3.497370700002648,0.7333333333333333,1.109293606016825,4.58256033293326e-13,1.8192827533564388e-13
27,70,michael row the boat ashore.wav,9.372018140589567,0.460134317276342,0,,0.4886977749751149,,3.278384200297296,9   70   31    1,1,3.027757700067014,0,1.179243816960558,sub-01,26,44,23.339999999999918,1.8851756640959791,,3.278384200297296,3.027757700067014,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,16.428344767245015,1.3727160118370315e-12,4.762143661032463e-12,2.5801104802082594e-12,1.0490070133618372e-13,False,False,Not familiar,0.36486486486486486,0.15957810787389587,michael row the boat ashore,-11.862419300526518,-11.322197507240134,-11.588361697169514,-12.97922160822764,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,18,0.2777777777777778,4.436821059990325,3.956823899992742,0.3888888888888889,1.5613778619941472,8.884556279436592e-13,2.6463023298393367e-13
28,116,this old man.wav,9.393015873015871,0.4613458872469265,1,2.18503539962694,0.4920616203614446,Lullaby,4.32313170004636,103   20   77  116,3,2.864170400425792,0,1.075605738141475,sub-01,27,12,17.725000000000023,0.677009873060648,2.18503539962694,4.32313170004636,2.864170400425792,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,14.191554659190686,5.449627924810102e-13,5.530424173113963e-13,1.388834967090249e-12,1.0388911275699466e-13,True,True,Familiar,0.3783783783783784,0.15957810787389587,this old man,-12.263633148313819,-12.257241557849357,-11.857349357675092,-12.983429962715253,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,20,0.95,4.164023610497105,3.952299900003709,0.5,1.1853571381095471,7.240563184053952e-13,1.691047637877708e-13
29,18,be kind to your web-footed friend.wav,6.993015873015873,0.4364666077146994,0,,0.4648987178495588, ,2.909635600168258,4  101   18    5,1,2.663666399661452,0,1.098878630703107,sub-01,28,36,22.337999999999965,1.6116035455278026,,2.909635600168258,2.663666399661452,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,18.602115110820478,5.568284658018985e-13,1.2056134037392539e-12,1.6753848023241994e-12,1.0606461572713672e-13,False,False,Not familiar,0.3918918918918919,0.15957810787389587,be kind to your web-footed friend,-12.254278571126145,-11.918791932278001,-11.775885428428461,-12.974429477149505,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,15,0.4,4.850621166668134,5.7556678500186536,0.26666666666666666,1.3807271452133278,9.066510718970096e-13,1.7058720775806265e-13
30,63,little jack horner.wav,6.793015873015873,0.4323128589033191,0,,0.4135183447109276,,2.841554600279778,63   83   85   99,3,6.552728499751538,0,1.067883951299238,sub-01,29,66,23.72700000000009,2.7816411682892803,,2.841554600279778,6.552728499751538,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,17.807517116114838,1.055129467344733e-12,3.641205035986275e-13,8.217599890032754e-13,9.336286474110098e-14,False,False,Not familiar,0.40540540540540543,0.15957810787389587,little jack horner,-11.976694247945757,-12.438754865287342,-12.085255008094972,-13.029825830889802,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,18,0.5555555555555556,4.400630250012545,4.563477550022071,0.4444444444444444,2.4940945790950604,6.066639789467194e-13,1.5771932115744008e-13
