n_components,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std
6,0.5592881222923766,0.0845018812975907,0.5199885883875247,0.05215262152285862,0.5367426139990445,0.06583170516302445,0.4940874008478633,0.0820015160904989
2,0.55531457193264,0.0574563989859974,0.5019776225675636,0.05669712128846393,0.5287443649843107,0.05792976961488879,0.47953523323164615,0.10836590819564039
4,0.5415599107055847,0.06114929119702247,0.5074773785617064,0.047520512195264125,0.5274576242570287,0.05222830494831122,0.4772657129647272,0.09560333823921839
10,0.538242193426362,0.03692395036776726,0.4982904818295754,0.04354708657139601,0.5192793908277402,0.022349288189049216,0.46444796655244386,0.06528696201069352
8,0.5244800871538151,0.05513200404313296,0.48847082584183993,0.04084547078639067,0.5125552465313451,0.03937804645686474,0.4265631000141667,0.05780321747999302
12,0.5241155509902595,0.046275202415496465,0.502408763630223,0.03985861879456641,0.5165061825613361,0.01785389404728553,0.45264907596234794,0.06400970057827873
