participant_id,n_trials,familiar_rate,valid_for_cv,roc_auc_mean,accuracy_mean,balanced_accuracy_mean
sub-01,74,0.5405405405405406,True,0.4565476190476191,0.43238095238095237,0.43392857142857144
sub-02,75,0.6266666666666667,True,0.5367407407407407,0.6133333333333333,0.5599999999999999
sub-03,101,0.8613861386138614,True,0.4705882352941176,0.8414285714285714,0.488562091503268
sub-04,78,0.32051282051282054,True,0.5207272727272727,0.665,0.5736363636363636
sub-05,66,0.7121212121212122,True,0.515,0.6065934065934065,0.48
sub-06,72,0.3333333333333333,True,0.5046666666666667,0.5961904761904762,0.48999999999999994
sub-07,79,0.31645569620253167,True,0.5181818181818182,0.5933333333333334,0.509090909090909
sub-09,61,0.5245901639344263,True,0.3901587301587302,0.44102564102564107,0.4442857142857143
sub-10,63,0.4444444444444444,True,0.5714285714285714,0.5397435897435898,0.5252380952380953
sub-11,59,0.03389830508474576,False,,,
sub-12,63,0.5714285714285714,True,0.5807142857142857,0.5397435897435897,0.5146428571428571
sub-13,71,0.7323943661971831,True,0.5233333333333332,0.7323809523809525,0.5
sub-14,69,0.8115942028985508,True,0.581060606060606,0.7967032967032968,0.581060606060606
sub-15,77,0.4155844155844156,True,0.3608465608465609,0.4408333333333333,0.41031746031746036
sub-16,82,0.524390243902439,True,0.5717261904761906,0.5220588235294118,0.5228174603174602
sub-17,99,0.9090909090909091,True,0.5,0.8484210526315789,0.4666666666666666
sub-18,68,0.0,False,,,
sub-19,62,0.5483870967741935,True,0.39841269841269844,0.39999999999999997,0.3980952380952381
sub-20,86,0.19767441860465115,True,0.5413919413919415,0.7790849673202613,0.5119047619047619
sub-21,76,0.18421052631578946,True,0.4756410256410256,0.8158333333333335,0.5
sub-22,67,0.6567164179104478,True,0.6516666666666666,0.6582417582417582,0.6252777777777776
sub-23,51,0.4117647058823529,True,0.565,0.5890909090909091,0.5766666666666667
sub-24,65,0.27692307692307694,True,0.4922222222222222,0.6307692307692307,0.47055555555555556
sub-25,56,0.48214285714285715,True,0.3944444444444445,0.4303030303030303,0.44000000000000006
sub-26,63,0.3968253968253968,True,0.40214285714285725,0.4782051282051283,0.41892857142857143
sub-27,69,0.5797101449275363,True,0.5116666666666667,0.49230769230769234,0.4741666666666666
sub-28,77,0.6493506493506493,True,0.4346666666666666,0.5475,0.4533333333333333
sub-29,68,0.5294117647058824,True,0.4896258503401361,0.46923076923076923,0.4666666666666667
sub-30,77,0.4935064935064935,True,0.49196428571428574,0.5183333333333333,0.5196428571428571
