trialNum	songNumber	songFileName	songDur	fixTime	responded	rt	postMusicTime	reply	promptRT	choicesMC	respMC	rtMC	outcomeMC	preFeedbackTime
1	120	yankee doodle.wav	8.572018140589568	0.425204862412488	1	6.782248900039122	0.4893270915230926	n/a	7.879049399984069	12   28   42  120	4	6.914513700059615	1	1.184693425831826
2	82	old mcdonald.wav	9.046984126984126	0.4688880533825182	1	3.335523199988529	0.4853285298565858	old mcdonald	15.16797609999776	55   47   83   82	4	2.477513500023633	1	1.15984657289018
3	99	she'll be coming 'round the mountain.wav	8.859999999999999	0.4032630183218107	1	6.306086799944751	0.4318910471337187	n/a	4.394133299938403	15   65   88   99	4	7.041800700011663	1	1.139063527765869
4	91	puff the magic dragon.wav	9.333015873015873	0.41078703760355	0	n/a	0.4085467024011276	n/a	1.969928500009701	95   91   56   37	2	7.218307300005108	1	1.171444664619328
5	49	hello mudduh, hello fadduh.wav	10.60199546485261	0.4532293754834628	0	n/a	0.4378088907813265	n/a	2.119730299920775	114   99   12   49	4	4.380803399952129	1	1.174589940515472
6	104	star spangled banner.wav	12.83800453514739	0.490414404697271	1	4.204812899930403	0.4536416878808056	Sang this song in Elementary, by the dawns early night	22.5450770999305	102  104   14   78	2	8.541188700008206	1	1.18157905887822
7	54	if you're happy and you know it.wav	9.090022675736961	0.4531622587103409	1	1.942085499991663	0.4565712893728543	n/a	9.68910620000679	10   54   68   88	2	1.977298800018616	1	1.168626224859798
8	47	happy trails.wav	9.331020408163266	0.4838530011514928	0	n/a	0.4351819892987219	n/a	1.447226600022987	19   47   26   28	2	4.40045099996496	1	1.066531810406937
9	88	polly wolly doodle.wav	9.334013605442177	0.4622476520855695	1	4.777149699977599	0.4402005595671727	Heard this when I was younger	10.3825366999954	51   84   83   88	3	5.287357899942435	0	1.04134636214723
10	116	this old man.wav	9.393015873015873	0.4891443349391835	1	6.228671299992129	0.4739878363181144	n/a	9.508137099910527	78   51  116  119	1	7.164664100040682	0	1.084102355188143
11	12	amazing grace.wav	8.674013605442177	0.441635533705463	1	5.47726870002225	0.4094012954238179	Again sang this in Elementary	11.56346390000544	12    5   62   71	1	3.507334199966863	1	1.054054774986505
12	110	tequila.wav	9.256009070294784	0.4864109952566111	1	4.568508900003508	0.466206804335198	From a movie I think	6.904600599897094	110  100    3   73	4	4.687545199994929	0	1.194747704152562
13	50	hickory dickory dock.wav	7.077006802721089	0.4137249577428898	0	n/a	0.4487601028297407	n/a	1.245664600050077	22   89   83   50	2	2.143561600008979	0	1.070741748817344
14	73	my bonnie lies over the ocean.wav	6.788979591836735	0.4096035684888146	0	n/a	0.4332126313505271	Familiar sorta	11.87413889996242	114   28   73   50	3	7.600585900014266	1	1.16685131497127
15	10	all my loving.wav	11.52498866213152	0.4993410117571738	0	n/a	0.4076743009978664	n/a	0.9428455999586731	10   55  105   78	2	5.786178800044581	0	1.189975270395661
16	70	michael row the boat ashore.wav	9.372018140589569	0.4802186496744167	0	n/a	0.4351488164875847	n/a	5.481879299972206	96   70   76  107	2	2.858215700020082	1	1.100882064343927
17	118	when the saints go marching in.wav	7.611020408163266	0.4325079345046344	0	n/a	0.4462261930141163	n/a	1.391384599963203	76  118  104  116	2	2.297725899959914	1	1.081465887859824
18	74	my country 'tis of thee.wav	14.21201814058957	0.4332965098471862	0	n/a	0.4395312907963578	n/a	1.336166599998251	74   22   95   69	1	3.664558500051498	1	1.114095769194724
19	83	on top of old smokey.wav	12.79700680272109	0.4876985071179182	1	8.21612500003539	0.4536990272833704	Cant remember where I heard it	8.447150700027123	111   60   83   14	3	7.506064899964258	1	1.038400783214289
20	85	over the river and through the woods.wav	13.91301587301587	0.4631445954993256	1	6.613188900053501	0.4510832114788722	Played this on piano once, Cant remember specifics	17.15996890002862	62   85   86  112	2	4.892904199892655	1	1.130340372510592
21	41	for he's a jolly good fellow.wav	7.117006802721089	0.4297490541249934	1	3.341136300005019	0.4468367210504922	Also sang in Elementary, cant remember lyrics	17.64595999999437	117   20   64   41	4	4.727981299976818	1	1.089801614804717
22	94	rock-a-bye baby.wav	13.92498866213152	0.4374142257873768	1	3.484836500021629	0.4841817415095893	Lullaby	3.335812200093642	94   90   76   64	1	2.105442500091158	1	1.037289926340645
23	51	home on the range.wav	13.08498866213152	0.4258327376603928	0	n/a	0.4528490323361489	n/a	1.072523399954662	51   96   98   45	2	5.009281100006774	0	1.15540441216635
24	76	my girl.wav	10.44498866213152	0.4843124971239194	1	6.159833600046113	0.4668152342723345	Froma movie maybe	5.263135800021701	58  111   76   27	3	11.23403609998059	1	1.014641071892277
25	111	the bare necessities.wav	8.511020408163265	0.4392053175170704	1	4.174253300065175	0.4073389405495336	Bare necessities	5.834206900093704	111  120   88   89	1	1.359619299997576	1	1.18933377881527
