trialNum	songNumber	songFileName	songDur	fixTime	responded	rt	postMusicTime	reply	promptRT	choicesMC	respMC	rtMC	outcomeMC	preFeedbackTime
1	109	teddy bear picnic.wav	8.161995464852607	0.4396964767449617	1	7.731464399956167	0.4492624698410857	n/a	7.614644400018733	109   75   79   19	3	12.45292640000116	0	1.086725943647131
2	14	angel is my centerfold (Example).wav	8.345986394557823	0.4803254756445769	1	2.948497599980328	0.4707723412421212	n/a	6.946266399987508	95   70   67   14	2	9.436278200009838	0	1.173825958777282
3	1	I feel fine.wav	10.69002267573696	0.4104315854548966	0	n/a	0.4869660564775465	n/a	1.727471100050025	53   12    1   67	3	3.650451599969529	1	1.017326566788358
4	64	london bridge.wav	6.706984126984127	0.4751206680097392	1	1.897732499986887	0.4583558150112974	nursury song	10.21084260003408	28   52   64   50	3	2.004675099975429	1	1.135781073917746
5	79	oh where has my little dog gone.wav	8.02	0.4958311992560706	1	6.020816600008402	0.4783661801127073	baseball	3.179652800026815	88   79   54   13	1	8.406311200000346	0	1.060795884938298
6	95	row your boat.wav	7.035011337868481	0.4166197689400005	1	2.742765499977395	0.4614568994194599	row row row your boat	9.552712299977429	38   79   61   95	4	2.655084699974395	1	1.082066226095322
7	3	I think we're alone now.wav	6.298004535147392	0.4931580560972753	0	n/a	0.4065391573226437	n/a	1.953704599989578	80    8    3   41	3	5.466227400000207	1	1.199987389205641
8	92	ring around the rosie.wav	7.034013605442177	0.4418335156800456	1	2.314046500017866	0.4877382289058487	ring around the rosie	3.46464650001144	92    4  117   77	1	1.684720400022343	1	1.193887402165648
9	66	love and marriage.wav	8.717006802721089	0.4277562834394043	1	6.86820510000689	0.4825255766973389	dracula?	4.926102099998388	66   71   19  119	2	3.169213099987246	0	1.054950192317786
10	21	blow the man down.wav	8.491020408163266	0.4705172894916799	0	n/a	0.467745007838844	n/a	1.403184599999804	31   21   23   69	2	4.965798899997026	1	1.167150115279019
11	23	brahms lullaby.wav	12.28399092970522	0.4905516602185872	1	3.888324400002602	0.4194591975859246	twinkle twinkle	7.603843999968376	7   23   45  107	2	5.705675699980929	1	1.193238494875067
