onset	duration	sample	value	stim_file
215.497	0.001	215497	1	rock-a-bye baby.wav
215.5778209	0	215577.8209	noteOnset	n/a
215.5778209	0	215577.8209	noteOnset	n/a
215.8634898	0	215863.4898	noteOnset	n/a
215.8634898	0	215863.4898	noteOnset	n/a
216.1492948	0	216149.2948	noteOnset	n/a
216.1492948	0	216149.2948	noteOnset	n/a
216.4350091	0	216435.0091	noteOnset	n/a
216.4350091	0	216435.0091	noteOnset	n/a
217.0065283	0	217006.5283	noteOnset	n/a
217.0065283	0	217006.5283	noteOnset	n/a
217.292288	0	217292.288	noteOnset	n/a
217.292288	0	217292.288	noteOnset	n/a
217.5780023	0	217578.0023	noteOnset	n/a
217.5780023	0	217578.0023	noteOnset	n/a
217.8637166	0	217863.7166	noteOnset	n/a
217.8637166	0	217863.7166	noteOnset	n/a
218.1495215	0	218149.5215	noteOnset	n/a
218.1495215	0	218149.5215	noteOnset	n/a
218.889	0.001	218889	2	n/a
219.51	0.001	219510	3	n/a
233.68	0.001	233680	4	n/a
233.743	0.001	233743	5	n/a
238.546	0.001	238546	6	n/a
239.701	0.001	239701	8	n/a
269.51	0.001	269510	1	itsy bitsy spider.wav
269.590746	0	269590.746	noteOnset	n/a
269.590746	0	269590.746	noteOnset	n/a
269.8765057	0	269876.5057	noteOnset	n/a
269.8765057	0	269876.5057	noteOnset	n/a
270.0908367	0	270090.8367	noteOnset	n/a
270.0908367	0	270090.8367	noteOnset	n/a
270.1623107	0	270162.3107	noteOnset	n/a
270.1623107	0	270162.3107	noteOnset	n/a
270.3766417	0	270376.6417	noteOnset	n/a
270.3766417	0	270376.6417	noteOnset	n/a
270.4480249	0	270448.0249	noteOnset	n/a
270.4480249	0	270448.0249	noteOnset	n/a
270.7339206	0	270733.9206	noteOnset	n/a
270.7339206	0	270733.9206	noteOnset	n/a
270.9482063	0	270948.2063	noteOnset	n/a
270.9482063	0	270948.2063	noteOnset	n/a
271.0197256	0	271019.7256	noteOnset	n/a
271.0197256	0	271019.7256	noteOnset	n/a
271.2340113	0	271234.0113	noteOnset	n/a
271.2340113	0	271234.0113	noteOnset	n/a
271.3055306	0	271305.5306	noteOnset	n/a
271.3055306	0	271305.5306	noteOnset	n/a
271.5198163	0	271519.8163	noteOnset	n/a
271.5198163	0	271519.8163	noteOnset	n/a
271.5912449	0	271591.2449	noteOnset	n/a
271.5912449	0	271591.2449	noteOnset	n/a
271.639	0.001	271639	2	n/a
272.221	0.001	272221	3	n/a
279.379	0.001	279379	4	n/a
279.549	0.001	279549	5	n/a
287.954	0.001	287954	6	n/a
289.138	0.001	289138	8	n/a
