onset	duration	sample	value	stim_file
276.193	0.001	276193	1	are you sleeping brother john.wav
276.2737392	0	276273.7392	noteOnset	n/a
276.2737392	0	276273.7392	noteOnset	n/a
276.5593175	0	276559.3175	noteOnset	n/a
276.5593175	0	276559.3175	noteOnset	n/a
276.8450317	0	276845.0317	noteOnset	n/a
276.8450317	0	276845.0317	noteOnset	n/a
277.1308367	0	277130.8367	noteOnset	n/a
277.1308367	0	277130.8367	noteOnset	n/a
277.4165964	0	277416.5964	noteOnset	n/a
277.4165964	0	277416.5964	noteOnset	n/a
277.7023107	0	277702.3107	noteOnset	n/a
277.7023107	0	277702.3107	noteOnset	n/a
277.9881156	0	277988.1156	noteOnset	n/a
277.9881156	0	277988.1156	noteOnset	n/a
278.2738299	0	278273.8299	noteOnset	n/a
278.2738299	0	278273.8299	noteOnset	n/a
278.5596349	0	278559.6349	noteOnset	n/a
278.5596349	0	278559.6349	noteOnset	n/a
278.8453039	0	278845.3039	noteOnset	n/a
278.8453039	0	278845.3039	noteOnset	n/a
278.863	0.001	278863	2	n/a
279.382	0.001	279382	3	n/a
293.26	0.001	293260	4	n/a
293.401	0.001	293401	5	n/a
297.225	0.001	297225	6	n/a
298.354	0.001	298354	8	n/a
316.618	0.001	316618	1	I think I love you.wav
316.6998163	0	316699.8163	noteOnset	n/a
316.6998163	0	316699.8163	noteOnset	n/a
317.5995896	0	317599.5896	noteOnset	n/a
317.5995896	0	317599.5896	noteOnset	n/a
317.8995896	0	317899.5896	noteOnset	n/a
317.8995896	0	317899.5896	noteOnset	n/a
318.4995896	0	318499.5896	noteOnset	n/a
318.4995896	0	318499.5896	noteOnset	n/a
319.0994989	0	319099.4989	noteOnset	n/a
319.0994989	0	319099.4989	noteOnset	n/a
319.3994989	0	319399.4989	noteOnset	n/a
319.3994989	0	319399.4989	noteOnset	n/a
319.9994989	0	319999.4989	noteOnset	n/a
319.9994989	0	319999.4989	noteOnset	n/a
320.2994989	0	320299.4989	noteOnset	n/a
320.2994989	0	320299.4989	noteOnset	n/a
320.8994989	0	320899.4989	noteOnset	n/a
320.8994989	0	320899.4989	noteOnset	n/a
321.4994989	0	321499.4989	noteOnset	n/a
321.4994989	0	321499.4989	noteOnset	n/a
322.3995896	0	322399.5896	noteOnset	n/a
322.3995896	0	322399.5896	noteOnset	n/a
322.6995896	0	322699.5896	noteOnset	n/a
322.6995896	0	322699.5896	noteOnset	n/a
323.2995896	0	323299.5896	noteOnset	n/a
323.2995896	0	323299.5896	noteOnset	n/a
323.8997256	0	323899.7256	noteOnset	n/a
