trialNum	songNumber	songFileName	songDur	fixTime	responded	rt	postMusicTime	reply	promptRT	choicesMC	respMC	rtMC	outcomeMC	preFeedbackTime
1	87	peter and the wolf.wav	10.82798185941043	0.4141532719829708	1	4.658738699999958	0.4133701849263891	n/a	20.71731039999941	60   49   24   87	2	10.77915320000102	0	1.087920935102675
2	104	star spangled banner.wav	12.83800453514739	0.490981607701879	1	1.009706200000437	0.436330343813333	n/a	5.849800699999832	104   73   47   35	1	6.542868599999565	1	1.020344322565261
3	63	little jack horner.wav	6.793015873015873	0.4596337416728585	1	4.166424999999435	0.425370951061984	 	4.070526199999222	73   77   63   19	3	6.483758100001069	1	1.0783684062976
4	12	amazing grace.wav	8.674013605442177	0.4976888546181283	1	4.477274800001396	0.4553618434665884	n/a	13.9554705999999	29   34   12    8	3	7.797685499999716	1	1.091429463797573
5	36	do-re-mi.wav	12.94399092970522	0.4981063322057103	1	2.928710199999841	0.4419286009112625	a doe a deer a female deer	12.94310120000046	36  104   73   23	1	4.550703200000498	1	1.124484219488257
6	82	old mcdonald.wav	9.046984126984126	0.4602045021771825	1	2.115213799999765	0.4356493158116599	old mcdonald had a farm	10.87317059999987	105   27   82   77	3	2.710317800001576	1	1.19210872549423
7	88	polly wolly doodle.wav	9.334013605442177	0.4934060307111393	1	4.062155000001439	0.4841564162935159	 	2.601055499999347	113    7   88   22	1	9.007811700001184	0	1.021497972039446
8	28	chicken dance.wav	5.946984126984127	0.4955726242213547	1	1.260467000000062	0.4116185672548127	something...dance	19.97357850000117	28  111    2   97	1	1.944313900001362	1	1.142606051901802
9	10	all my loving.wav	11.52498866213152	0.4634276197160128	0	n/a	0.4698385256240376	n/a	6.389955099999497	90   48   81   10	3	7.286786000000575	0	1.057355000224563
10	53	hush little baby.wav	9.372018140589569	0.4400924876642228	1	1.32328840000082	0.4375412068484767	n/a	7.509795500000109	24   53   22   26	2	2.70079430000078	1	1.060319347781417
11	95	row your boat.wav	7.035011337868481	0.4993426694653358	1	2.102174000001469	0.4854858485857609	row row row your boat	9.207238400000278	57  110   72   95	4	2.576273699998637	1	1.084412169061833
12	81	old king cole.wav	9.353015873015874	0.4671790533004186	0	n/a	0.4516156647995886	n/a	5.89668889999848	37   85   55   81	2	8.502218100000391	0	1.184938896360798
13	47	happy trails.wav	9.331020408163266	0.4643767407558683	0	n/a	0.4371170668847731	n/a	7.147559900000488	81   47   75  110	1	6.099921800001539	0	1.189816638956112
14	100	shoo fly.wav	9.372018140589569	0.4592315053888641	1	5.642670299999736	0.4755910016888845	n/a	8.158606500001042	4   72   99  100	4	9.441871200000605	1	1.013154402945683
15	30	clementine.wav	8.716009070294785	0.4281222290888256	1	1.510449500001414	0.4982039303290632	n/a	8.917863700000453	99   61   34   30	1	9.712853500001074	0	1.084884409074524
16	91	puff the magic dragon.wav	9.333015873015873	0.4652739824359245	1	3.722376499999882	0.4814344062619314	n/a	2.830274800000552	91   99   95   79	4	6.075845900000786	0	1.022248106026888
17	94	rock-a-bye baby.wav	13.92498866213152	0.4478302965039736	1	2.585802599998715	0.4498409010661127	rockaby baby	35.67931569999928	101   67  121   94	4	3.548393600000054	1	1.039333630448809
18	73	my bonnie lies over the ocean.wav	6.788979591836735	0.4015656272958105	1	4.647470400001112	0.4355985151085771	my bonnie lies over the ocean	9.226835700001175	73   43  109  108	1	1.818401700000322	1	1.062564424984614
19	46	happy birthday.wav	7.078004535147392	0.4660873605527291	1	1.476238699999158	0.4242576871949461	happy birthday	11.00486629999978	121   31   46   54	3	2.172812400000112	1	1.009500223456004
20	17	baby love.wav	7.219002267573696	0.4399909638472787	0	n/a	0.4954990860175783	n/a	2.401703199999247	67  106   78   17	1	5.119669800000338	0	1.127730647766832
21	43	get ready.wav	7.080997732426304	0.4854693572067671	1	2.159151200001361	0.4487304651951775	n/a	1.905892499999027	43   51   21   42	1	7.957128399999419	1	1.119148390800595
22	116	this old man.wav	9.393015873015873	0.4975691122351342	1	1.578479400001015	0.4077036837922243	i love you.. you love me.. 	19.6130333000001	121  116   96  102	2	16.96466859999964	1	1.130775144119323
