onset	duration	sample	value	stim_file
285.774	0.001	285774	1	sesame street.wav
285.854737	0	285854.737	noteOnset	n/a
285.854737	0	285854.737	noteOnset	n/a
286.4072993	0	286407.2993	noteOnset	n/a
286.4072993	0	286407.2993	noteOnset	n/a
286.80222	0	286802.22	noteOnset	n/a
286.80222	0	286802.22	noteOnset	n/a
287.5128322	0	287512.8322	noteOnset	n/a
287.5128322	0	287512.8322	noteOnset	n/a
287.7497029	0	287749.7029	noteOnset	n/a
287.7497029	0	287749.7029	noteOnset	n/a
287.8287052	0	287828.7052	noteOnset	n/a
287.8287052	0	287828.7052	noteOnset	n/a
288.5393175	0	288539.3175	noteOnset	n/a
288.5393175	0	288539.3175	noteOnset	n/a
289.0920159	0	289092.0159	noteOnset	n/a
289.0920159	0	289092.0159	noteOnset	n/a
289.4868005	0	289486.8005	noteOnset	n/a
289.4868005	0	289486.8005	noteOnset	n/a
291.0658934	0	291065.8934	noteOnset	n/a
291.0658934	0	291065.8934	noteOnset	n/a
291.6185011	0	291618.5011	noteOnset	n/a
291.6185011	0	291618.5011	noteOnset	n/a
292.0133311	0	292013.3311	noteOnset	n/a
292.0133311	0	292013.3311	noteOnset	n/a
292.5660295	0	292566.0295	noteOnset	n/a
292.5660295	0	292566.0295	noteOnset	n/a
292.6448957	0	292644.8957	noteOnset	n/a
292.6448957	0	292644.8957	noteOnset	n/a
292.9607234	0	292960.7234	noteOnset	n/a
292.9607234	0	292960.7234	noteOnset	n/a
293.2765964	0	293276.5964	noteOnset	n/a
293.2765964	0	293276.5964	noteOnset	n/a
293.8292041	0	293829.2041	noteOnset	n/a
293.8292041	0	293829.2041	noteOnset	n/a
294.224034	0	294224.034	noteOnset	n/a
294.224034	0	294224.034	noteOnset	n/a
296.174	0.001	296174	3	n/a
306.689	0.001	306689	4	n/a
306.858	0.001	306858	5	n/a
322.485	0.001	322485	6	n/a
323.68	0.001	323680	8	n/a
337.552	0.001	337552	1	rudolph.wav
337.6339206	0	337633.9206	noteOnset	n/a
337.6339206	0	337633.9206	noteOnset	n/a
337.8243061	0	337824.3061	noteOnset	n/a
337.8243061	0	337824.3061	noteOnset	n/a
338.1100204	0	338110.0204	noteOnset	n/a
338.1100204	0	338110.0204	noteOnset	n/a
338.2052132	0	338205.2132	noteOnset	n/a
338.2052132	0	338205.2132	noteOnset	n/a
338.4910181	0	338491.0181	noteOnset	n/a
338.4910181	0	338491.0181	noteOnset	n/a
338.7767324	0	338776.7324	noteOnset	n/a
338.7767324	0	338776.7324	noteOnset	n/a
339.0624014	0	339062.4014	noteOnset	n/a
339.0624014	0	339062.4014	noteOnset	n/a
339.9194989	0	339919.4989	noteOnset	n/a
339.9194989	0	339919.4989	noteOnset	n/a
340.1575941	0	340157.5941	noteOnset	n/a
340.1575941	0	340157.5941	noteOnset	n/a
340.4433991	0	340443.3991	noteOnset	n/a
340.4433991	0	340443.3991	noteOnset	n/a
340.7767324	0	340776.7324	noteOnset	n/a
340.7767324	0	340776.7324	noteOnset	n/a
341.0624014	0	341062.4014	noteOnset	n/a
341.0624014	0	341062.4014	noteOnset	n/a
342.2053039	0	342205.3039	noteOnset	n/a
342.2053039	0	342205.3039	noteOnset	n/a
342.3958254	0	342395.8254	noteOnset	n/a
342.3958254	0	342395.8254	noteOnset	n/a
342.6814943	0	342681.4943	noteOnset	n/a
342.6814943	0	342681.4943	noteOnset	n/a
342.7768231	0	342776.8231	noteOnset	n/a
342.7768231	0	342776.8231	noteOnset	n/a
343.0625374	0	343062.5374	noteOnset	n/a
343.0625374	0	343062.5374	noteOnset	n/a
343.3482063	0	343348.2063	noteOnset	n/a
343.3482063	0	343348.2063	noteOnset	n/a
343.6339206	0	343633.9206	noteOnset	n/a
343.6339206	0	343633.9206	noteOnset	n/a
344.4911995	0	344491.1995	noteOnset	n/a
344.4911995	0	344491.1995	noteOnset	n/a
344.7292041	0	344729.2041	noteOnset	n/a
344.7292041	0	344729.2041	noteOnset	n/a
345.0150091	0	345015.0091	noteOnset	n/a
345.0150091	0	345015.0091	noteOnset	n/a
345.3482971	0	345348.2971	noteOnset	n/a
345.3482971	0	345348.2971	noteOnset	n/a
345.634102	0	345634.102	noteOnset	n/a
345.634102	0	345634.102	noteOnset	n/a
347.313	0.001	347313	3	n/a
356.226	0.001	356226	4	n/a
356.35	0.001	356350	5	n/a
366.721	0.001	366721	6	n/a
367.937	0.001	367937	8	n/a
375.847	0.001	375847	1	jimmy crack corn.wav
375.9278889	0	375927.8889	noteOnset	n/a
375.9278889	0	375927.8889	noteOnset	n/a
376.2136032	0	376213.6032	noteOnset	n/a
376.2136032	0	376213.6032	noteOnset	n/a
376.4992721	0	376499.2721	noteOnset	n/a
376.4992721	0	376499.2721	noteOnset	n/a
376.9277982	0	376927.7982	noteOnset	n/a
376.9277982	0	376927.7982	noteOnset	n/a
377.0705646	0	377070.5646	noteOnset	n/a
377.0705646	0	377070.5646	noteOnset	n/a
377.3563696	0	377356.3696	noteOnset	n/a
377.3563696	0	377356.3696	noteOnset	n/a
377.6420839	0	377642.0839	noteOnset	n/a
377.6420839	0	377642.0839	noteOnset	n/a
378.2134671	0	378213.4671	noteOnset	n/a
378.2134671	0	378213.4671	noteOnset	n/a
378.4991814	0	378499.1814	noteOnset	n/a
378.4991814	0	378499.1814	noteOnset	n/a
378.7848957	0	378784.8957	noteOnset	n/a
378.7848957	0	378784.8957	noteOnset	n/a
379.2134671	0	379213.4671	noteOnset	n/a
379.2134671	0	379213.4671	noteOnset	n/a
379.3563696	0	379356.3696	noteOnset	n/a
379.3563696	0	379356.3696	noteOnset	n/a
379.6419932	0	379641.9932	noteOnset	n/a
379.6419932	0	379641.9932	noteOnset	n/a
379.9277982	0	379927.7982	noteOnset	n/a
379.9277982	0	379927.7982	noteOnset	n/a
380.4991814	0	380499.1814	noteOnset	n/a
380.4991814	0	380499.1814	noteOnset	n/a
380.7849864	0	380784.9864	noteOnset	n/a
380.7849864	0	380784.9864	noteOnset	n/a
381.0707007	0	381070.7007	noteOnset	n/a
381.0707007	0	381070.7007	noteOnset	n/a
381.4992721	0	381499.2721	noteOnset	n/a
381.4992721	0	381499.2721	noteOnset	n/a
381.6421746	0	381642.1746	noteOnset	n/a
381.6421746	0	381642.1746	noteOnset	n/a
381.9278889	0	381927.8889	noteOnset	n/a
381.9278889	0	381927.8889	noteOnset	n/a
382.2136032	0	382213.6032	noteOnset	n/a
382.2136032	0	382213.6032	noteOnset	n/a
382.6421746	0	382642.1746	noteOnset	n/a
382.6421746	0	382642.1746	noteOnset	n/a
382.7850771	0	382785.0771	noteOnset	n/a
382.7850771	0	382785.0771	noteOnset	n/a
383.0707914	0	383070.7914	noteOnset	n/a
383.0707914	0	383070.7914	noteOnset	n/a
383.3565057	0	383356.5057	noteOnset	n/a
383.3565057	0	383356.5057	noteOnset	n/a
383.6421746	0	383642.1746	noteOnset	n/a
383.6421746	0	383642.1746	noteOnset	n/a
383.9279796	0	383927.9796	noteOnset	n/a
383.9279796	0	383927.9796	noteOnset	n/a
385.367	0.001	385367	3	n/a
396.726	0.001	396726	4	n/a
396.786	0.001	396786	5	n/a
411.272	0.001	411272	6	n/a
412.403	0.001	412403	8	n/a
420.596	0.001	420596	1	my favorite things.wav
420.6767324	0	420676.7324	noteOnset	n/a
420.6767324	0	420676.7324	noteOnset	n/a
420.9624921	0	420962.4921	noteOnset	n/a
420.9624921	0	420962.4921	noteOnset	n/a
421.2483878	0	421248.3878	noteOnset	n/a
421.2483878	0	421248.3878	noteOnset	n/a
421.5343288	0	421534.3288	noteOnset	n/a
